"SYMBOL","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","VOLUME","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","VOLUME_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","TRADING_SIGNAL","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR"
"HBLENGINE",807.1,3.36,2.18,33.17,82,77.2,"STRONG_BULLISH",8544737,2025-08-29,0.7,0.82,1,0.838,"Very High","STRONG_BUY",0.941366669069976,0.271038136212155,10,4.62259489462783,"Excellent",0.093730033445172,2.12468860682566,2.21251708525233
"SWIGGY",409.75,-2.67,0.01,5.1,65,51.2,"STRONG_BULLISH",13267998,2025-08-29,1,0.65,1,0.86,"Very High","BUY",0.76143932826817,0.106647036755458,9,0.447043663908448,"Good",0.124046932370402,1.29058351833373,2.7984154386213
"POLICYBZR",1770.8,-1.92,-7.48,-2.3,50,40.8,"STRONG_BULLISH",2869156,2025-08-29,1,0.5,1,0.8,"Very High","HOLD",0.499976729927585,-0.00767519091023132,4,-0.0153496674447167,"Poor",0.115280657168478,0.522570803947747,0.873657529754564
"MCX",7390,-0.16,-10.91,-11.82,42,35.8,"STRONG_BULLISH",644963,2025-08-29,0.7,0.42,0.8,0.618,"Medium","WEAK_HOLD",0.373711850820109,-0.0688531221821904,2,-0.10993840817897,"Poor",0.110448002733756,0.162605274957605,0.991086190659553
"IDEA",6.49,-1.22,-1.37,-17.11,20,44.1,"STRONG_BEARISH",720657284,2025-08-29,1,0.2,1,0.68,"Medium","SELL",0.438813538989052,-0.116724201315083,4,-0.20799539800873,"Poor",0.201434456394054,0.721679859142751,0.907738427841105
"HAL",4332.6,-0.28,-2.7,-11.06,22,32.4,"BULLISH",1036537,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.423512045340613,-0.0646484869881533,3,-0.112141956246684,"Poor",0.229659225745127,0.513419721787795,1.00863253746647
"ADVENZYMES",345.95,6.73,9.25,5.47,60,62.8,"STRONG_BEARISH",12789256,2025-08-29,1,0.6,1,0.84,"Very High","HOLD",0.565582012245432,-0.0189381235162728,4,-0.0435942434477924,"Poor",0.102311458834447,0.595887020672672,1.47073145664763
"PAYTM",1207,-1.93,-1.57,20.1,75,62.8,"STRONG_BULLISH",3601954,2025-08-29,1,0.75,1,0.9,"Very High","BUY",0.793510037986562,0.129616896072403,9,0.627715240046231,"Good",0.0870305051095784,1.8644735411508,2.94030033785384
"BRITANNIA",5824,1.8,5.91,0.65,75,60.4,"STRONG_BULLISH",699161,2025-08-29,1,0.75,0.8,0.84,"Very High","BUY",0.653837752668187,0.172407060414553,10,0.498052753422566,"Good",0.0841493449639529,1.01716430764645,1.86930636595935
"VMM",149.41,-0.78,1.49,8.56,70,59.5,"STRONG_BULLISH",26346065,2025-08-29,1,0.7,1,0.88,"Very High","BUY",0.79679201412946,0.187327691670507,11,0.921852017124219,"Good",0.103747265785933,2.27860527613666,2.80404456169344
"SUZLON",56.43,0.2,-5.3,-15.81,22,31.2,"BULLISH",66053084,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.365153871383518,-0.116003237955738,4,-0.18272654227024,"Poor",0.2712835800834,0.231933212047443,1.14010699926876
"COLPAL",2331.8,3.05,2.56,-2.04,45,56.3,"STRONG_BEARISH",1598897,2025-08-29,1,0.45,1,0.78,"High","WEAK_HOLD",0.414904011413455,-0.0186732378555462,3,-0.0319148280278871,"Poor",0.110038637183607,0.666152898571454,1.06179371471517
"YESBANK",19.1,2.25,-1.29,-5.63,40,47.8,"BULLISH",191492999,2025-08-29,1,0.4,1,0.76,"High","WEAK_HOLD",0.524050835566595,-0.0801971286768094,2,-0.168499358061234,"Poor",0.147620582021773,0.466888165613636,1.0383748265449
"NAVA",687.6,4.79,16.13,12.34,90,67.9,"STRONG_BULLISH",5258174,2025-08-29,1,0.9,1,0.96,"Very High","STRONG_BUY",0.948853955324739,0.302553483983502,9,5.91548155687288,"Excellent",0.0944900997914374,2.74908811203204,2.54261123249307
"ANGELONE",2209.8,-2.2,-17.48,-18.66,23,25.9,"BULLISH",1577470,2025-08-29,0.5,0.23,1,0.542,"Medium","SELL",0.298440949432552,-0.154033938853536,2,-0.219559477892769,"Poor",0.327523474395275,0.512186603154987,0.912616118439473
"LIQUIDBEES",1000,0,0,0,53,53.5,"STRONG_BEARISH",3507471,2025-08-29,1,0.53,1,0.812,"Very High","HOLD",0.569248593365774,-0.0331006609019823,8,-0.0768439995602611,"Poor",0.141218760958873,0.446995197539218,1.22446455794852
"TVSMOTOR",3276.6,0.63,0.76,13.09,77,73.3,"STRONG_BULLISH",1023381,2025-08-29,0.7,0.77,1,0.818,"Very High","BUY",0.657495951326564,0.179182311892509,12,0.523153850550107,"Good",0.0858490280807018,1.81297445611563,1.91215990204364
"LTF",217.16,0.33,0.06,6.79,95,60.2,"STRONG_BULLISH",15451569,2025-08-29,1,0.95,1,0.98,"Very High","STRONG_BUY",0.868828404089436,0.305023948987946,9,2.32538109238161,"Excellent",0.141898382292129,2.13230807811487,1.98547241440974
"DIXON",16690,0.07,-1.27,3.67,75,54.8,"STRONG_BULLISH",197676,2025-08-29,1,0.75,0.6,0.78,"High","BUY",0.640315529610962,0.113325966140255,12,0.315070500590923,"Good",0.164403234759811,1.96822138363495,1.32676500119269
"VEDL",420.65,-0.91,-6.56,-5.99,17,38.6,"BULLISH",7712901,2025-08-29,0.7,0.17,1,0.578,"Medium","SELL",0.374607744347304,-0.180543842888437,3,-0.288688964816187,"Poor",0.305317672388628,0.311354479868896,1.17073058455717
"JINDALPOLY",601.4,15.63,14.37,-0.45,40,67.1,"STRONG_BEARISH",5105761,2025-08-29,1,0.4,1,0.76,"High","WEAK_HOLD",0.476247373549268,0.0173134747659788,5,0.0330565879608193,"Fair",0.236995585460681,0.613728048512712,0.912946136319079
"MAZDOCK",2603.1,-0.95,-5.25,-16.24,12,34.2,"STRONG_BEARISH",1141973,2025-08-29,0.7,0.12,1,0.558,"Medium","SELL",0.41967446738854,-0.185231656127144,3,-0.319185777150978,"Poor",0.182082127127796,0.483295371988788,0.712421694141813
"VTL",424.35,-5.74,-2.47,-15.15,45,47.8,"BULLISH",6884962,2025-08-29,1,0.45,1,0.78,"High","WEAK_HOLD",0.49344891118817,-0.0874970475560986,2,-0.172730943607944,"Poor",0.238681590685155,0.592936280462891,1.0198805863969
"SAILIFE",824.7,1.06,-9.46,1.55,60,44.2,"STRONG_BULLISH",3607933,2025-08-29,1,0.6,1,0.84,"Very High","HOLD",0.553315464640036,0.0218919095234014,6,0.0490097771255046,"Fair",0.0578247400466353,1.40087672462687,1.07776801811997
"CDSL",1424.4,-1.9,-9.94,-17.26,23,27.3,"BULLISH",2043349,2025-08-29,0.5,0.23,1,0.542,"Medium","SELL",0.304315765108913,-0.159706618625205,1,-0.229567684037296,"Poor",0.150174388522282,0.207374411658384,0.586492904042825
"SILVERBEES",113.58,0.71,3.81,5.37,85,63.6,"STRONG_BULLISH",25713199,2025-08-29,1,0.85,1,0.94,"Very High","STRONG_BUY",0.845559194218367,0.25547060277313,11,1.65416517662013,"Excellent",0.0917368466500193,1.98973238572944,1.64996895287186
"PFC",379.7,-0.54,-7.39,-10.4,18,28.1,"STRONG_BEARISH",7398515,2025-08-29,0.5,0.18,1,0.522,"Medium","SELL",0.356763217924163,-0.0507614454720169,1,-0.078915644886166,"Poor",0.27787269661203,0.540628478652798,1.00067951711826
"DMART",4755.6,1.19,2.2,16.39,77,74,"STRONG_BULLISH",591567,2025-08-29,0.7,0.77,0.8,0.758,"High","BUY",0.734211514610797,0.0935238248389214,9,0.351873124608733,"Moderate",0.222138171817642,1.40823514806107,2.34434063744266
"RECLTD",350,-1.38,-8.45,-12.59,18,22.3,"STRONG_BEARISH",7976387,2025-08-29,0.5,0.18,1,0.522,"Medium","SELL",0.438543212413788,-0.195911785401404,3,-0.348934752830504,"Poor",0.230885466467589,0.147604382387362,1.17296442380175
"NAZARA",1161.1,1.89,-17.05,-16.1,22,30.1,"BULLISH",2327782,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.442743577482179,-0.13256730386056,3,-0.237892823669198,"Poor",0.225571133056656,0.468846934870817,0.919587036524899
"VBL",487.15,-2.12,-3.61,1.47,40,41.7,"STRONG_BEARISH",5493941,2025-08-29,1,0.4,1,0.76,"High","WEAK_HOLD",0.404595281463116,-0.0239751516492106,4,-0.0402669829492213,"Poor",0.186901192285586,0.446768053388223,0.698075169813819
"INDHOTEL",758.45,-0.88,-2.15,0.97,35,46.8,"BULLISH",3485485,2025-08-29,1,0.35,1,0.74,"High","WEAK_HOLD",0.428664477681741,-0.0030238480772823,2,-0.00529259596009836,"Poor",0.176556256052572,0.220818981155753,0.581489257141948
"POWERINDIA",19110,-2.45,-3.02,2.96,45,42.6,"STRONG_BULLISH",135354,2025-08-29,1,0.45,0.6,0.66,"Medium","WEAK_HOLD",0.528453319054097,-0.0256045667338185,4,-0.0542991134673174,"Poor",0.212745612394065,0.328657556814142,1.29939845658373
"MOTHERSON",92.75,0.69,-6.69,-39.84,27,32.8,"STRONG_BEARISH",28080321,2025-08-29,0.7,0.27,1,0.618,"Medium","SELL",0.39196939743124,-0.117568818770815,1,-0.193360035291183,"Poor",0.170876599114854,0.125787239987403,1.07774847040419
"PERSISTENT",5305.5,-0.15,1.32,-5.13,35,47.6,"BULLISH",487634,2025-08-29,1,0.35,0.6,0.62,"Medium","WEAK_HOLD",0.495115518569946,-0.0658385240822099,3,-0.13040314468713,"Poor",0.137708091852255,0.632617485057563,0.535972695820965
"HDFCAMC",5463,-2.13,-4.48,2.05,75,43.3,"STRONG_BULLISH",464107,2025-08-29,1,0.75,0.6,0.78,"High","BUY",0.755296315113083,0.104970866255462,9,0.428971334469162,"Good",0.221088854246773,1.23161643836647,2.38520876539405
"INDUSTOWER",338.6,0.89,-0.4,-16.4,22,37.3,"BULLISH",7338329,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.293272292707115,-0.0811486017657444,4,-0.11482300881705,"Poor",0.266174529539421,0.720600436907262,0.920865441835485
"BDL",1435.7,0.48,-7.32,-20.33,23,29.7,"BULLISH",1741846,2025-08-29,0.5,0.23,1,0.542,"Medium","SELL",0.339837303524837,-0.0891548321582377,3,-0.135049787929954,"Poor",0.198309171991423,0.229429298685864,1.11231266651303
"RTNINDIA",61.36,1.29,13.9,-0.98,80,67.4,"BULLISH",40240277,2025-08-29,1,0.8,1,0.92,"Very High","STRONG_BUY",0.803194528073072,0.315118691138923,14,1.60116834178231,"Excellent",0.0670815728604794,2.59514729096554,2.16885543591343
"MAXHEALTH",1154.3,-0.51,-6.11,-8.84,22,32.8,"BULLISH",1977662,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.364964426681399,-0.164308200939558,3,-0.25873857755859,"Poor",0.23431944088079,0.213789818389341,1.1982747908216
"DLF",739.05,-1.39,-4.77,-12.47,27,34.9,"BULLISH",3054170,2025-08-29,0.7,0.27,1,0.618,"Medium","SELL",0.388840588182211,-0.145195193355903,4,-0.237573357373398,"Poor",0.235347784706391,0.156885956134647,0.572507841768675
"GODREJCP",1242.6,-0.64,1.96,-1.76,70,53.3,"STRONG_BULLISH",1808734,2025-08-29,1,0.7,1,0.88,"Very High","BUY",0.699068142520264,0.0939364557899535,6,0.312151915641829,"Moderate",0.113620649185032,1.82966018095613,1.57921896409243
"AUBANK",718.05,-1.54,-5.33,-9.99,42,36.8,"STRONG_BULLISH",3090760,2025-08-29,0.7,0.42,1,0.678,"Medium","WEAK_HOLD",0.381415196089074,-0.0881110719405115,6,-0.142439761506329,"Poor",0.169384979375172,0.414547421340831,0.719159791432321
"UNITDSPR",1311,2.3,-1.32,-4.81,25,45.3,"STRONG_BEARISH",1687323,2025-08-29,1,0.25,1,0.7,"High","SELL",0.413677212409675,-0.104294416669291,3,-0.177878838886547,"Poor",0.162407697027083,0.412309023016132,0.862299355235882
"TATAPOWER",374.15,0.82,-3.85,-9.78,32,33.9,"BULLISH",5793121,2025-08-29,0.7,0.32,1,0.638,"Medium","SELL",0.426178080122918,-0.145648673770484,3,-0.253822080902178,"Poor",0.17695064174477,0.363327992218547,0.960826419410296
"ADANIPOWER",600.65,0.96,-0.88,-0.69,90,55.2,"STRONG_BULLISH",3619098,2025-08-29,1,0.9,1,0.96,"Very High","STRONG_BUY",0.791306277923286,0.346988933579996,11,1.66267068375179,"Excellent",0.0843715271912515,2.78628089348786,1.65324832918122
"FORCEMOT",19477,0.47,-6.67,15.69,80,55,"STRONG_BULLISH",102576,2025-08-29,1,0.8,0.6,0.8,"Very High","STRONG_BUY",0.775506330048665,0.284920383337885,10,1.26916889638648,"Excellent",0.0992952287197113,2.02241400000639,2.87240380863659
"DABUR",521.1,1.41,-0.18,-1.3,85,53.3,"STRONG_BULLISH",3745766,2025-08-29,1,0.85,1,0.94,"Very High","STRONG_BUY",0.900661572860554,0.160279570193961,11,1.61346998145007,"Good",0.090778705989942,2.39649940305389,2.07072107645217
"JINDWORLD",37.19,7.55,1.11,-11.01,35,42.8,"STRONG_BEARISH",49740693,2025-08-29,1,0.35,1,0.74,"High","WEAK_HOLD",0.366271985555068,-0.0500043323030695,5,-0.0789050368033156,"Poor",0.109502330014948,0.601264205574989,0.673614554014057
"OLECTRA",1542.2,2.72,2.28,23.75,75,60.7,"STRONG_BULLISH",1240849,2025-08-29,1,0.75,1,0.9,"Very High","BUY",0.716543817939237,0.128139470163733,12,0.452060947241095,"Good",0.0642141137737781,1.62640980980359,2.27957962278742
"AMBER",7267.5,0.19,-1.37,-4.38,55,47.9,"STRONG_BULLISH",258474,2025-08-29,1,0.55,0.6,0.7,"High","HOLD",0.588910211855546,-0.0410319533431903,7,-0.0998126310273898,"Poor",0.23485359090846,0.531827388564125,1.0475826561451
"NYKAA",230.15,-1.58,1.46,6.7,85,64.7,"STRONG_BULLISH",8204962,2025-08-29,1,0.85,1,0.94,"Very High","STRONG_BUY",0.768968132184818,0.328899209806696,11,1.42360970768675,"Excellent",0.11673173122108,2.42805957980454,2.67496865917929
"PHOENIXLTD",1503.2,-0.43,-0.01,1.51,35,49,"STRONG_BEARISH",1254747,2025-08-29,1,0.35,1,0.74,"High","WEAK_HOLD",0.406137112993747,0.0411515137879178,5,0.0692946380188336,"Fair",0.194854016928002,0.912301733158529,0.812630297592841
"SHREECEM",29275,-1.35,-5.27,-5.43,37,34.2,"BULLISH",63260,2025-08-29,0.7,0.37,0.4,0.478,"Low","WEAK_HOLD",0.422793909814209,-0.0839515961823054,5,-0.145444751207117,"Poor",0.217019568150863,0.136038525495678,0.955189263937063
"POLYCAB",7091,-0.22,-0.37,2.06,90,59.7,"STRONG_BULLISH",260270,2025-08-29,1,0.9,0.6,0.84,"Very High","STRONG_BUY",0.912928007775918,0.157474535424262,11,1.80855555732545,"Good",0.124030861840583,2.03225713258144,1.77945583651308
"GRSE",2351.7,0.6,-9.63,-10.39,32,34.1,"BULLISH",775274,2025-08-29,0.7,0.32,0.8,0.578,"Medium","SELL",0.340785833355039,-0.0788724662736058,1,-0.119646194308935,"Poor",0.191837094398215,0.207556455745362,0.733119734516367
"BOSCHLTD",39960,1.87,0.25,3.86,95,61.3,"STRONG_BULLISH",46252,2025-08-29,1,0.95,0.2,0.74,"High","STRONG_BUY",0.773592318966985,0.150706453435123,12,0.665641963856989,"Good",0.173288777365815,1.74212306365371,2.9336211575428
"IDBI",85.67,-4.72,-4.33,-14.87,42,36.8,"STRONG_BULLISH",20845445,2025-08-29,0.7,0.42,1,0.678,"Medium","WEAK_HOLD",0.524423479940742,0.0209885971155018,3,0.0441329549088894,"Fair",0.149688257591333,0.679517715703696,1.07211553503294
"UPL",715.75,-0.13,1.19,6.6,85,56.4,"STRONG_BULLISH",2472182,2025-08-29,1,0.85,1,0.94,"Very High","STRONG_BUY",0.908868464222178,0.303512331983075,8,3.33048630633236,"Excellent",0.0756833148188889,2.16470679268241,2.97502093983348
"AAVAS",1520.2,-1.42,-9.67,-20.43,23,23.3,"STRONG_BEARISH",1155976,2025-08-29,0.5,0.23,1,0.542,"Medium","SELL",0.412771864747629,-0.0781912596081383,3,-0.133153122124393,"Poor",0.152667241776362,0.596846763510257,0.599073760514148
"DIVISLAB",6131.5,-0.01,0.86,-10.24,30,42.6,"BULLISH",283850,2025-08-29,1,0.3,0.6,0.6,"Medium","SELL",0.389101712638512,-0.156152199627832,4,-0.255610799470831,"Poor",0.107671759591904,0.182607078948058,0.900319641456008
"KALYANKJIL",504.15,-1.18,-0.63,-14.58,12,35.3,"STRONG_BEARISH",3445371,2025-08-29,0.7,0.12,1,0.558,"Medium","SELL",0.437183349346742,-0.180705569405109,3,-0.321073602203071,"Poor",0.321084510860965,0.201832037395798,0.992411059211008
"SONACOMS",443.05,-1.62,-2.68,-2.64,15,42.7,"STRONG_BEARISH",3898250,2025-08-29,1,0.15,1,0.66,"Medium","SELL",0.272369806421921,-0.112623661686666,2,-0.154781457230143,"Poor",0.238414621690754,0.592483437806368,0.771039568260312
"HAVELLS",1525.6,0.41,-2.83,0.04,25,49.9,"STRONG_BEARISH",1112664,2025-08-29,1,0.25,1,0.7,"High","SELL",0.405121302045882,-0.148776224791072,3,-0.250095061905456,"Poor",0.180851490981877,0.656801322987303,0.909527445561253
"CUMMINSIND",3826.2,-0.23,1.98,7.25,80,62.7,"STRONG_BULLISH",430848,2025-08-29,1,0.8,0.6,0.8,"Very High","STRONG_BUY",0.845063314819708,0.337241831002757,8,2.17664286937807,"Excellent",0.133354546828195,1.7624715550337,2.53378559730481
"NAUKRI",1358.1,-2.01,-1.64,-2.53,15,42.7,"STRONG_BEARISH",1215734,2025-08-29,1,0.15,1,0.66,"Medium","SELL",0.360920169577003,-0.195645294734277,1,-0.306135924528837,"Poor",0.105305364588276,0.520553649193607,1.18753905615304
"UNIONBANK",124.82,-1.78,-9.24,-15.86,33,29.2,"STRONG_BULLISH",13165024,2025-08-29,0.5,0.33,1,0.582,"Medium","SELL",0.345345866354182,-0.100488359911833,2,-0.153498396706373,"Poor",0.177683960646391,0.274068209296092,1.13433526773006
"LUPIN",1894.9,-0.39,-3.74,-1.82,25,42.4,"STRONG_BEARISH",865960,2025-08-29,1,0.25,0.8,0.64,"Medium","SELL",0.274324823589995,-0.163284253154416,1,-0.22501011259914,"Poor",0.170042194204871,0.707137671182864,1.18219512875658
"GARUDA",216.33,9.66,9.38,46.22,95,66.1,"STRONG_BULLISH",7526290,2025-08-29,1,0.95,1,0.98,"Very High","STRONG_BUY",0.820359581848606,0.336851287679747,11,1.87514197053284,"Excellent",0.085022601345554,2.64082939177752,2.18299115030095
"CLEAN",1174.5,1.59,-1.29,-19.51,20,42.5,"STRONG_BEARISH",1373493,2025-08-29,1,0.2,1,0.68,"Medium","SELL",0.412000355962664,-0.156678339617793,4,-0.266459922563905,"Poor",0.249936759169213,0.514980842056684,0.921884594345465
"PNB",100.88,-0.56,-6.51,-12.26,37,32.5,"STRONG_BULLISH",15792366,2025-08-29,0.7,0.37,1,0.658,"Medium","WEAK_HOLD",0.448846529936418,0.00723928888328374,5,0.0131347968877863,"Fair",0.246972342405934,1.37320499727502,0.74314257169608
"BHARATFORG",1106.7,-1.59,-6.88,-10.12,22,35.8,"STRONG_BEARISH",1414573,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.367383719235659,-0.172918721253518,2,-0.273339031117874,"Poor",0.295692798122764,0.672757482598536,0.660670413845219
"HFCL",70.23,0.75,-5.58,-15.76,22,36.4,"STRONG_BEARISH",22471463,2025-08-29,0.7,0.22,1,0.598,"Medium","SELL",0.335466672526673,-0.054045701934956,4,-0.0813288057958617,"Poor",0.221979791950434,0.635436824080534,0.703712858236395
"MARICO",725.85,2,-0.29,-0.79,70,53.3,"STRONG_BULLISH",2136019,2025-08-29,1,0.7,1,0.88,"Very High","BUY",0.798263585567474,0.113357106726617,6,0.561907016368287,"Good",0.141487898700871,2.59456888830755,2.14836589212064
"SRF",2836.4,-0.51,-3.18,-11.4,32,34,"BULLISH",537875,2025-08-29,0.7,0.32,0.8,0.578,"Medium","SELL",0.337949078995734,-0.184975912701339,3,-0.279398316402534,"Poor",0.334047223627567,0.417558029200882,0.611756513640284
"GAIL",173.07,1.08,-1.04,-6.11,30,41.7,"BULLISH",8823629,2025-08-29,1,0.3,1,0.72,"High","SELL",0.325128622958437,-0.198200642631855,4,-0.293686544391181,"Poor",0.230547600914724,0.745475606294349,0.91550168057438
"COFORGE",1724.3,-0.74,4.33,-8.4,25,41.1,"STRONG_BEARISH",868677,2025-08-29,1,0.25,0.8,0.64,"Medium","SELL",0.340854449523613,-0.170332029368728,2,-0.258413379633108,"Poor",0.229566333151888,0.616844089748338,0.793975788075477
"VOLTAS",1374,1.08,-0.36,-1.67,60,59.1,"BULLISH",1097616,2025-08-29,1,0.6,1,0.84,"Very High","HOLD",0.508883107546717,-0.0459979317383841,6,-0.0936598444183216,"Poor",0.0708538472419605,0.211906778789125,1.4016886606114
"GOLDBEES",85.34,1.09,3.68,4.9,75,68.9,"STRONG_BULLISH",17611333,2025-08-29,1,0.75,1,0.9,"Very High","BUY",0.703668478503823,0.182785541107878,10,0.616827869627215,"Good",0.0525958024198189,1.57809609174728,2.38514292240143
"RVNL",302.6,-1.96,-7.67,-21.05,13,20.4,"STRONG_BEARISH",4853561,2025-08-29,0.5,0.13,1,0.502,"Medium","SELL",0.317919317958877,-0.172109671530779,2,-0.252330370969813,"Poor",0.338640724075958,0.577987615461461,0.618673720699735
"HYUNDAI",2460.4,0.78,-4.68,15.2,80,62.6,"STRONG_BULLISH",595068,2025-08-29,1,0.8,0.8,0.86,"Very High","STRONG_BUY",0.77613913831301,0.209623341821134,9,0.936400138199401,"Excellent",0.0744772115256637,2.78499634657055,2.06715593312401
"CANBK",103.83,-0.76,-7.02,-11.28,32,33.7,"STRONG_BULLISH",13999620,2025-08-29,0.7,0.32,1,0.638,"Medium","SELL",0.322383609693497,-0.17019537074957,1,-0.251167730273742,"Poor",0.13198696069885,0.572488438291475,1.15544132222421
"IOC",136.62,-1.35,-3.8,-10.14,27,31.4,"BULLISH",10577763,2025-08-29,0.7,0.27,1,0.618,"Medium","SELL",0.416004779888317,-0.108160755306017,3,-0.185208288666013,"Poor",0.166550109325908,0.684060438838787,1.12622473787051
"LEMONTREE",165.83,-1.17,11.44,7.81,90,64.5,"STRONG_BULLISH",8595106,2025-08-29,1,0.9,1,0.96,"Very High","STRONG_BUY",0.881351625593379,0.294075549254194,9,2.47854680458044,"Excellent",0.0685111740371212,1.52143473748583,2.42635375459213
"RELAXO",477.6,6.68,-1.13,-3.48,80,55.8,"BULLISH",3014412,2025-08-29,1,0.8,1,0.92,"Very High","STRONG_BUY",0.814074648497626,0.238710677437484,10,1.28390601662752,"Excellent",0.050337515026331,2.23313177225646,2.03571851982269
"JSL",762.95,-5.39,0.67,12.88,85,57.5,"STRONG_BULLISH",1854221,2025-08-29,1,0.85,1,0.94,"Very High","STRONG_BUY",0.787538223853335,0.177315551927313,15,0.83457624775249,"Good",0.0638327267486602,2.73164839600213,2.71431319252588
"GODREJPROP",1947.7,-1.86,-3.1,-14.91,17,34.9,"STRONG_BEARISH",718751,2025-08-29,0.7,0.17,0.8,0.518,"Medium","SELL",0.328122315416113,-0.0773832468665205,1,-0.115174604905127,"Poor",0.269640928832814,0.400169742293656,0.620632991124876
"IDFCFIRSTB",67.99,-0.09,-4.63,-7.95,37,39.2,"STRONG_BULLISH",20587732,2025-08-29,0.7,0.37,1,0.658,"Medium","WEAK_HOLD",0.541940304543823,0.000501379126217226,2,0.0010945715835529,"Fair",0.204667857824825,1.32980353455059,1.41279500338715
"ATHERENERG",450.15,4.64,3.26,32.46,72,72.1,"BULLISH",3123592,2025-08-29,0.7,0.72,1,0.798,"High","BUY",0.660081271221861,0.139649727810174,6,0.41083269613344,"Good",0.189594012196176,1.98576978873461,1.9570060107857
"SOLARINDS",13795,-0.13,-6.15,-9.18,27,35.1,"BULLISH",99713,2025-08-29,0.7,0.27,0.4,0.438,"Low","SELL",0.438406520569697,-0.0891117079998366,1,-0.158676536077723,"Poor",0.15586288725026,0.617980312812142,0.538505288376473
