symbol,inputs,company_name,isin,qty,avg_cost,broker_price,cost_value,market_value,realized_pnl,unrealized_pnl,unrealized_pct,mapping_status
ICICIB22,BHA22,ICICI PRUD MF BHARAT 22 ETF,INF109KB15Y7,436,114.97,115.71,50126.92,50449.56,0.00,322.64,0.64,ETF_ISIN_ALIAS
BHARTIARTL,BHAAIR,BHARTI AIRTEL LTD,INE397D01024,21,1563.92,1969.30,32842.32,41355.30,4260.31,8512.98,25.92,NSE_ISIN_MATCH
BEL,BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,304,278.72,412.45,84730.88,125384.80,11811.11,40653.92,47.98,NSE_ISIN_MATCH
BHARATFORG,BHAFOR,BHARAT FORGE LIMITED,INE465A01025,15,1779.93,2093.00,26698.95,31395.00,(2706.76),4696.05,17.59,NSE_ISIN_MATCH
BPCL,BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,10,316.78,316.65,3167.80,3166.50,(3128.12),-1.30,-0.04,NSE_ISIN_MATCH
BHEL,BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,80,309.88,435.95,24790.40,34876.00,4656.11,10085.60,40.68,NSE_ISIN_MATCH
BLISSGVS,BLIGVS,BLISS GVS PHARMA LIMITED,INE416D01022,70,301.39,520.50,21097.30,36435.00,6957.04,15337.70,72.70,NSE_ISIN_MATCH
BLSE,BLSESE,BLS E-SERVICES LIMITED,INE0NLT01010,70,316.83,310.80,22178.10,21756.00,0.00,-422.10,-1.90,NSE_ISIN_MATCH
BOSCHLTD,BOSLIM,BOSCH LIMITED,INE323A01026,1,35356.59,46970.00,35356.59,46970.00,509.94,11613.41,32.85,NSE_ISIN_MATCH
BSE,BSE,BSE LIMITED,INE118H01025,22,2692.36,3332.00,59231.92,73304.00,44256.93,14072.08,23.76,NSE_ISIN_MATCH
CANBK,CANBAN,CANARA BANK,INE476A01022,290,112.81,131.10,32714.90,38019.00,6380.06,5304.10,16.21,NSE_ISIN_MATCH
CHENNPETRO,CHEPET,CHENNAI PETROLEUM CORPORATION,INE178A01016,5,1216.28,1382.40,6081.40,6912.00,(4907.98),830.60,13.66,NSE_ISIN_MATCH
CUB,CITUNI,CITY UNION BANK LTD,INE491A01021,266,173.00,215.20,46018.00,57243.20,0.00,11225.20,24.39,NSE_ISIN_MATCH
CONCOR,CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,36,486.22,524.50,17503.92,18882.00,(1339.40),1378.08,7.87,NSE_ISIN_MATCH
CPSEETF,CPSETF,CPSE ETF,INF457M01133,2340,94.14,93.76,220287.60,219398.40,(663.92),-889.20,-0.40,ETF_ISIN_ALIAS
CRAFTSMAN,CRAAUT,CRAFTSMAN AUTOMATION LIMITED,INE00LO01017,3,10424.42,10480.00,31273.26,31440.00,606.65,166.74,0.53,NSE_ISIN_MATCH
CGPOWER,CROGRE,CG POWER AND IND SOLUTIONS LTD,INE067A01029,25,870.34,898.80,21758.50,22470.00,15749.36,711.50,3.27,NSE_ISIN_MATCH
CUMMINSIND,CUMIND,CUMMINS INDIA LTD,INE298A01020,8,4605.31,5450.00,36842.48,43600.00,9988.66,6757.52,18.34,NSE_ISIN_MATCH
CUPID,CUPRUB,CUPID LIMITED,INE509F01029,225,182.70,267.32,41107.50,60147.00,0.00,19039.50,46.32,NSE_ISIN_MATCH
CYIENTDLM,CYIDLM,CYIENT DLM LIMITED,INE055S01018,10,694.00,737.45,6940.00,7374.50,0.00,434.50,6.26,NSE_ISIN_MATCH
DATAPATTNS,DATPAT,DATA PATTERNS INDIA LIMITED,INE0IX101010,23,3365.01,4528.70,77395.23,104160.10,6838.08,26764.87,34.58,NSE_ISIN_MATCH
UNMAPPED_SATANI_BEARINGS,DECBEA,SATANI BEARINGS LTD,INE498D01012,20,280.70,278.00,5614.00,5560.00,15896.50,-54.00,-0.96,LEGACY_OR_UNMAPPED
DELHIVERY,DELLIM,DELHIVERY LIMITED,INE148O01028,12,445.00,456.00,5340.00,5472.00,(1441.61),132.00,2.47,NSE_ISIN_MATCH
DBOL,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,40,112.68,121.08,4507.20,4843.20,140.04,336.00,7.45,NSE_ISIN_MATCH
DIXON,DIXTEC,DIXON TECHNOLOGIES INDIA LTD,INE935N01020,8,15486.97,14025.00,123895.76,112200.00,304890.10,-11695.76,-9.44,NSE_ISIN_MATCH
LALPATHLAB,DRLAL,DR. LAL PATHLABS LIMITED,INE600L01024,20,1415.43,1877.30,28308.60,37546.00,813.43,9237.40,32.63,NSE_ISIN_MATCH
EICHERMOT,EICMOT,EICHER MOTORS LTD,INE066A01021,7,5936.02,8050.00,41552.14,56350.00,4451.27,14797.86,35.61,NSE_ISIN_MATCH
EIMCOELECO,EIMELE,EIMCO ELECON INDIA LTD,INE158B01016,11,2027.77,2189.10,22305.47,24080.10,13854.99,1774.63,7.96,NSE_ISIN_MATCH
ENDURANCE,ENDTEC,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,8,2675.91,2978.20,21407.28,23825.60,1927.52,2418.32,11.30,NSE_ISIN_MATCH
EXIDEIND,EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,15,484.16,475.70,7262.40,7135.50,2381.33,-126.90,-1.75,NSE_ISIN_MATCH
SCHAEFFLER,FAGBEA,SCHAEFFLER INDIA LIMITED,INE513A01022,3,4374.60,4028.90,13123.80,12086.70,(205.29),-1037.10,-7.90,NSE_ISIN_MATCH
FEDERALBNK,FEDBAN,FEDERAL BANK LTD,INE171A01029,221,204.22,354.10,45132.62,78256.10,(317.94),33123.48,73.39,NSE_ISIN_MATCH
FORTIS,FORHEA,FORTIS HEALTHCARE LIMITED,INE061F01013,60,768.09,908.75,46085.40,54525.00,2821.45,8439.60,18.31,NSE_ISIN_MATCH
NYKAA,FSNECO,FSN ECOMMERCE VENTURES NYKAA,INE388Y01029,15,240.37,327.05,3605.55,4905.75,77.40,1300.20,36.06,NSE_ISIN_MATCH
GABRIEL,GABIND,GABRIEL INDIA LTD,INE524A01029,49,1007.57,1442.50,49370.93,70682.50,11659.49,21311.57,43.17,NSE_ISIN_MATCH
GRSE,GARREA,GARDEN REACH SHIPBUILD ENG LTD,INE382Z01011,11,2381.48,2600.10,26196.28,28601.10,27501.44,2404.82,9.18,NSE_ISIN_MATCH
GLAXO,GLAPHA,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,4,2708.40,2702.90,10833.60,10811.60,0.00,-22.00,-0.20,NSE_ISIN_MATCH
GLENMARK,GLEPHA,GLENMARK PHARMACEUTICALS LTD,INE935A01035,10,2071.95,2329.00,20719.50,23290.00,1071.36,2570.50,12.41,NSE_ISIN_MATCH
GODREJIND,GODIND,GODREJ INDUSTRIES LIMITED,INE233A01035,8,1152.55,1223.00,9220.40,9784.00,(4053.05),563.60,6.11,NSE_ISIN_MATCH
GOKULAGRO,GOKAGR,GOKUL AGRO RESOURCES LIMITED,INE314T01033,130,169.05,231.66,21976.50,30115.80,1142.48,8139.30,37.04,NSE_ISIN_MATCH
GRANULES,GRANUL,GRANULES INDIA LIMITED,INE101D01020,15,812.31,861.55,12184.65,12923.25,4107.88,738.60,6.06,NSE_ISIN_MATCH
GRASIM,GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,5,3301.11,3250.50,16505.55,16252.50,2438.62,-253.05,-1.53,NSE_ISIN_MATCH
GRAVITA,GRAVIN,GRAVITA INDIA LIMITED,INE024L01027,20,2297.19,1821.70,45943.80,36434.00,29452.52,-9509.80,-20.70,NSE_ISIN_MATCH
GAEL,GUJAE,GUJARAT AMBUJA EXPORTS LIMITED,INE036B01030,30,135.12,172.75,4053.60,5182.50,5147.37,1128.90,27.85,NSE_ISIN_MATCH
HAVELLS,HAVIND,HAVELLS INDIA LIMITED,INE176B01034,6,1643.06,1299.00,9858.36,7794.00,(9866.04),-2064.36,-20.94,NSE_ISIN_MATCH
HAWKINCOOK,HAWCOO,HAWKINS COOKER LTD,INE979B01015,4,8196.62,8340.00,32786.48,33360.00,59333.57,573.52,1.75,NSE_ISIN_MATCH
HBLENGINE,HBLPOW,HBL ENGINEERING LIMITED,INE292B01021,45,732.24,674.60,32950.80,30357.00,41141.64,-2593.80,-7.87,NSE_ISIN_MATCH
HDFCBANK,HDFBAN,HDFC BANK LIMITED,INE040A01034,796,668.24,729.00,531919.04,580284.00,86256.66,48364.96,9.09,NSE_ISIN_MATCH
HEG,HEG,HEG LIMITED,INE545A01024,1,690.39,698.30,690.39,698.30,8733.19,7.91,1.15,NSE_ISIN_MATCH
HAL,HINAER,HINDUSTAN AERONAUTICS LIMITED,INE066F01020,15,4575.86,5059.00,68637.90,75885.00,101625.03,7247.10,10.56,NSE_ISIN_MATCH
HINDCOPPER,HINCOP,HINDUSTAN COPPER LIMITED,INE531E01026,106,557.00,572.65,59042.00,60700.90,41228.20,1658.90,2.81,NSE_ISIN_MATCH
HINDALCO,HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,109,788.89,1049.90,85989.01,114439.10,4539.52,28450.09,33.09,NSE_ISIN_MATCH
HINDUNILVR,HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,35,2615.55,2055.00,91544.25,71925.00,2067.27,-19619.25,-21.43,NSE_ISIN_MATCH
ALPL30IETF,ICIA30,ICICI PRU NIFALPHA LWVOL30 ETF,INF109KC17V7,1210,22.94,28.33,27757.40,34279.30,770.94,6521.90,23.50,ETF_ISIN_ALIAS
AUTOIETF,ICIAUT,ICICI PRU NIFTY AUTO ETF,INF109KC10V2,2703,25.88,30.40,69953.64,82171.20,0.00,12217.56,17.47,ETF_ISIN_ALIAS
ICICIBANK,ICIBAN,ICICI BANK LIMITED,INE090A01021,709,575.10,1415.30,407745.90,1003447.70,126365.27,595701.80,146.10,NSE_ISIN_MATCH
GOLDIETF,ICIGOL,ICICI PRUDENTIAL GOLD ETF,INF109KC1NT3,554,76.68,131.02,42480.72,72585.08,3802.32,30104.36,70.87,ETF_ISIN_ALIAS
LEGACY_IDFC,IDFC,IDFC LIMITED,INE043D01016,60,97.98,107.97,5878.80,6478.20,2707.02,599.40,10.20,LEGACY_OR_UNMAPPED
INDUSINDBK,INDBA,INDUSIND BANK LIMITED,INE095A01012,10,1031.85,1010.60,10318.50,10106.00,(4094.24),-212.50,-2.06,NSE_ISIN_MATCH
INDIAGLYCO,INDGLY,INDIA GLYCOLS LTD,INE560A01023,40,854.42,1070.90,34176.80,42836.00,1722.05,8659.20,25.34,NSE_ISIN_MATCH
INDHOTEL,INDHOT,INDIAN HOTELS CO LTD,INE053A01029,50,674.23,720.00,33711.50,36000.00,2418.15,2288.50,6.79,NSE_ISIN_MATCH
INFRABEES,INFBEE,NIPPON INDIA ETF NIF INFRA BEE,INF732E01268,5,929.76,977.79,4648.80,4888.95,0.00,240.15,5.17,ETF_ISIN_ALIAS
INFY,INFTEC,INFOSYS LTD,INE009A01021,111,1407.07,1139.90,156184.77,126528.90,157097.97,-29655.87,-18.99,NSE_ISIN_MATCH
INDIGO,INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,3,5335.22,5275.50,16005.66,15826.50,2098.33,-179.16,-1.12,NSE_ISIN_MATCH
ITC,ITC,ITC LIMITED,INE154A01025,70,481.18,273.05,33682.60,19113.50,(15483.71),-14569.10,-43.25,NSE_ISIN_MATCH
CEMPRO,ITDCEM,CEMINDIA PROJECTS LIMITED,INE686A01026,10,1176.96,1321.80,11769.60,13218.00,(316.67),1448.40,12.31,NSE_ISIN_MATCH
JINDALSTEL,JINSP,JINDAL STEEL LIMITED,INE749A01030,85,954.46,1116.10,81129.10,94868.50,(52.24),13739.40,16.94,NSE_ISIN_MATCH
JSWSTEEL,JSWSTE,JSW STEEL LIMITED,INE019A01038,76,1089.18,1277.80,82777.68,97112.80,3559.48,14335.12,17.32,NSE_ISIN_MATCH
KALYANKJIL,KALJEW,KALYAN JEWELLERS INDIA LIMITED,INE303R01014,10,609.83,610.00,6098.30,6100.00,5956.48,1.70,0.03,NSE_ISIN_MATCH
KARURVYSYA,KARVYS,KARUR VYSYA BANK LTD,INE036D01028,100,186.20,334.00,18620.00,33400.00,5.20,14780.00,79.38,NSE_ISIN_MATCH
KEI,KEIIND,KEI INDUSTRIES LIMITED,INE878B01027,3,5831.91,5873.00,17495.73,17619.00,28.53,123.27,0.70,NSE_ISIN_MATCH
KIRLOSENG,KIRENG,KIRLOSKAR OIL ENGINES LIMITED,INE146L01010,28,1407.42,2101.60,39407.76,58844.80,14591.15,19437.04,49.32,NSE_ISIN_MATCH
KIMS,KRIINS,KRISHNA INSTITUTE OF MED SCI,INE967H01025,30,543.42,800.40,16302.60,24012.00,0.00,7709.40,47.29,NSE_ISIN_MATCH
LT,LARTOU,LARSEN AND TOUBRO LIMITED,INE018A01030,35,3482.59,4086.70,121890.65,143034.50,25115.27,21143.85,17.35,NSE_ISIN_MATCH
LAURUSLABS,LAULAB,LAURUS LABS LIMITED,INE947Q01028,32,1001.09,1809.70,32034.88,57910.40,44559.76,25875.52,80.77,NSE_ISIN_MATCH
LTFOODS,LTOVER,LT FOODS LIMITED,INE818H01020,36,356.54,417.15,12835.44,15017.40,1576.21,2181.96,17.00,NSE_ISIN_MATCH
M&M,MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,17,3020.96,3390.40,51356.32,57636.80,5330.75,6280.48,12.23,NSE_ISIN_MATCH
MANAPPURAM,MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,20,314.20,348.60,6284.00,6972.00,7789.00,688.00,10.95,NSE_ISIN_MATCH
MARICO,MARLIM,MARICO LIMITED,INE196A01026,5,727.03,852.05,3635.15,4260.25,(328.65),625.10,17.20,NSE_ISIN_MATCH
MARUTI,MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,1,13292.77,13760.00,13292.77,13760.00,0.00,467.23,3.51,NSE_ISIN_MATCH
MAZDOCK,MAZDOC,MAZAGON DOCK SHIPBUILDERS LTD,INE249Z01020,18,2593.33,2569.70,46679.94,46254.60,91681.19,-425.34,-0.91,NSE_ISIN_MATCH
MCX,MCX,MULTI COMMODITY EXCHANGE,INE745G01043,30,2095.55,2933.10,62866.50,87993.00,81350.70,25126.50,39.97,NSE_ISIN_MATCH
MSUMI,MOTSU,MOTHERSON SUMI WIRING IND LTD,INE0FS801015,545,41.38,40.33,22552.10,21979.85,(124.06),-572.25,-2.54,NSE_ISIN_MATCH
MOTHERSON,MOTSUM,SAMVARDHANA MOTHERSON INT LTD,INE775A01035,46,124.47,168.06,5725.62,7730.76,(1413.65),2005.14,35.02,NSE_ISIN_MATCH
MPHASIS,MPHLIM,MPHASIS LIMITED,INE356A01018,7,2913.75,2510.00,20396.25,17570.00,47220.21,-2826.25,-13.86,NSE_ISIN_MATCH
NH,NARHRU,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,30,1616.85,1828.50,48505.50,54855.00,18347.63,6349.50,13.09,NSE_ISIN_MATCH
NAVINFLUOR,NAVFLU,NAVIN FLUORINE INTERNATIONAL L,INE048G01026,5,6931.66,8151.00,34658.30,40755.00,4543.91,6096.70,17.59,NSE_ISIN_MATCH
NESTLEIND,NESIND,NESTLE INDIA LIMITED,INE239A01024,10,1357.92,1470.00,13579.20,14700.00,525.22,1120.80,8.25,NSE_ISIN_MATCH
NETWEB,NETTEC,NETWEB TECHNOLOGIES INDIA LTD,INE0NT901020,5,4852.37,5212.40,24261.85,26062.00,420.98,1800.15,7.42,NSE_ISIN_MATCH
NIFTYBEES,NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,655,220.08,277.91,144152.40,182031.05,3009.52,37878.65,26.28,ETF_ISIN_ALIAS
COFORGE,NIITEC,COFORGE LIMITED,INE591G01025,17,1439.36,1806.00,24469.12,30702.00,4003.04,6232.88,25.47,NSE_ISIN_MATCH
NIVABUPA,NIVBUP,NIVA BUPA HEALTH INSUR COM LTD,INE995S01015,20,89.40,82.71,1788.00,1654.20,(217.59),-133.80,-7.48,NSE_ISIN_MATCH
NRBBEARING,NRBBEA,NRB BEARINGS LTD,INE349A01021,48,357.63,484.05,17166.24,23234.40,8093.10,6068.16,35.35,NSE_ISIN_MATCH
OBEROIRLTY,OBEREA,OBEROI REALTY LIMITED,INE093I01010,5,1686.31,1931.00,8431.55,9655.00,8233.16,1223.45,14.51,NSE_ISIN_MATCH
PARAS,PARDEF,PARAS DEFENCE AND SPACE TECH,INE045601023,21,1051.83,1388.50,22088.43,29158.50,0.00,7070.07,32.01,NSE_ISIN_MATCH
PIDILITIND,PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,10,1527.08,1669.00,15270.80,16690.00,(2227.58),1419.20,9.29,NSE_ISIN_MATCH
POLYCAB,POLI,POLYCAB INDIA LIMITED,INE455K01017,6,7036.31,9370.00,42217.86,56220.00,33104.01,14002.14,33.17,NSE_ISIN_MATCH
POCL,PONOXI,PONDY OXIDES N CHEMICALS LIMIT,INE063E01061,50,508.72,486.75,25436.00,24337.50,6070.41,-1098.50,-4.32,NSE_ISIN_MATCH
PREMEXPLN,PREEXP,PREMIER EXPLOSIVES LTD,INE863B01029,50,652.28,672.65,32614.00,33632.50,51962.16,1018.50,3.12,NSE_ISIN_MATCH
PSUBNKBEES,PSUBAN,NIPPON IND ETF NIF PSU BNK BEE,INF204KB16I7,1778,70.31,97.65,125011.18,173621.70,30670.82,48610.52,38.88,ETF_ISIN_ALIAS
PNB,PUNBAN,PUNJAB NATIONAL BANK,INE160A01022,81,118.77,117.32,9620.37,9502.92,1010.74,-117.45,-1.22,NSE_ISIN_MATCH
RADICO,RADKHA,RADICO KHAITAN LTD,INE944F01028,1,4566.23,4693.40,4566.23,4693.40,6877.16,127.17,2.79,NSE_ISIN_MATCH
RATNAVEER,RATPRE,RATNAVEER PRECISION ENG LTD,INE05CZ01011,96,230.88,244.87,22164.48,23507.52,0.00,1343.04,6.06,NSE_ISIN_MATCH
RATEGAIN,RATTRA,RATEGAIN TRAVEL TECHNOLOGIES,INE0CLI01024,10,846.36,949.50,8463.60,9495.00,23422.59,1031.40,12.19,NSE_ISIN_MATCH
NAM-INDIA,RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,19,871.39,1202.70,16556.41,22851.30,(3120.64),6294.89,38.02,NSE_ISIN_MATCH
ROSSTECH,ROSTEC,ROSSELL TECHSYS LIMITED,INE0OJW01016,10,911.24,1108.90,9112.40,11089.00,0.00,1976.60,21.69,NSE_ISIN_MATCH
RRKABEL,RRKAB,R R KABEL LTD,INE777K01022,9,2736.54,2748.60,24628.86,24737.40,0.00,108.54,0.44,NSE_ISIN_MATCH
RUBICON,RUBRES,RUBICON RESEARCH LIMITED,INE506V01022,18,1622.00,1798.70,29196.00,32376.60,0.00,3180.60,10.89,NSE_ISIN_MATCH
SAIL,SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,40,176.13,173.60,7045.20,6944.00,11795.47,-101.20,-1.44,NSE_ISIN_MATCH
SAILIFE,SAILIF,SAI LIFE SCIENCES LIMITED,INE570L01029,3,1160.88,1416.40,3482.64,4249.20,0.00,766.56,22.01,NSE_ISIN_MATCH
SANSERA,SANEN,SANSERA ENGINEERING LIMITED,INE953O01021,15,3022.25,4002.00,45333.75,60030.00,(45.22),14696.25,32.42,NSE_ISIN_MATCH
SBFC,SBFFIN,SBFC FINANCE LIMITED,INE423Y01016,30,96.58,93.95,2897.40,2818.50,(488.31),-78.90,-2.72,NSE_ISIN_MATCH
SETFGOLD,SBIGOL,SBI-ETF GOLD,INF200KA16D8,3741,82.79,130.47,309717.39,488088.27,90288.10,178370.88,57.59,ETF_ISIN_ALIAS
SCHNEIDER,SCHELE,SCHNEIDER ELECTRIC INFRA LTD,INE839M01018,3,1470.82,1212.20,4412.46,3636.60,16503.39,-775.86,-17.58,NSE_ISIN_MATCH
SENORES,SENPHA,SENORES PHARMACEUTICALS LTD,INE0RB801010,4,1540.80,1545.70,6163.20,6182.80,0.00,19.60,0.32,NSE_ISIN_MATCH
SHAILY,SHAILY,SHAILY ENGINEERING PLASTICS LT,INE151G01028,18,2179.29,3396.30,39227.22,61133.40,1321.02,21906.18,55.84,NSE_ISIN_MATCH
SHRIPISTON,SHRPIS,SPR AUTO TECHNOLOGIES LIMITED,INE526E01018,6,3014.50,4436.60,18087.00,26619.60,(980.90),8532.60,47.18,NSE_ISIN_MATCH
SHRIRAMFIN,SHRTRA,SHRIRAM FINANCE LIMITED,INE721A01047,30,677.72,1122.00,20331.60,33660.00,1956.20,13328.40,65.56,NSE_ISIN_MATCH
SKYGOLD,SKYGOL,SKY GOLD AND DIAMONDS LIMITED,INE01IU01018,55,591.72,776.40,32544.60,42702.00,22264.89,10157.40,31.21,NSE_ISIN_MATCH
SOLARINDS,SOLIN,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,4,12063.65,20000.00,48254.60,80000.00,25225.34,31745.40,65.79,NSE_ISIN_MATCH
SOMANYCERA,SOMCER,SOMANY CERAMICS LIMITED,INE355A01028,49,455.83,518.90,22335.67,25426.10,(2373.50),3090.43,13.84,NSE_ISIN_MATCH
SBIN,STABAN,STATE BANK OF INDIA,INE062A01020,70,703.94,1061.20,49275.80,74284.00,28067.51,25008.20,50.75,NSE_ISIN_MATCH
SUNFLAG,SUNIRO,SUNFLAG IRON STEEL CO LTD,INE947A01014,45,305.18,360.75,13733.10,16233.75,7870.81,2500.65,18.21,NSE_ISIN_MATCH
SUNPHARMA,SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,12,1415.77,1882.00,16989.24,22584.00,3019.24,5594.76,32.93,NSE_ISIN_MATCH
LEGACY_TATA_COFFEE,TATCO,TATA COFFEE LTD,INE493A01027,25,326.70,344.80,8167.50,8620.00,0.00,452.50,5.54,LEGACY_OR_UNMAPPED
TMCV,TATCOV,TATA MOTORS LIMITED,INE1TAE01010,127,330.01,470.40,41911.27,59740.80,0.00,17829.53,42.54,NSE_ISIN_MATCH
TNIDETF,TATNID,TATA NIFTY INDIA DIGITAL ETF,INF277KA1364,1004,88.96,90.85,89315.84,91213.40,0.00,1897.56,2.12,ETF_ISIN_ALIAS
LEGACY_TATA_STEEL_LONG_PRODUCTS,TATSPO,TATA STEEL LONG PRODUCTS LTD,INE674A01014,10,807.59,829.95,8075.90,8299.50,4270.12,223.60,2.77,LEGACY_OR_UNMAPPED
TATASTEEL,TATSTE,TATA STEEL LIMITED,INE081A01020,2260,126.20,186.00,285212.00,420360.00,318229.05,135148.00,47.39,NSE_ISIN_MATCH
TCS,TCS,TATA CONSULTANCY SERVICES LTD,INE467B01029,84,3415.89,2313.20,286934.76,194308.80,473695.00,-92625.96,-32.28,NSE_ISIN_MATCH
TDPOWERSYS,TDPSYS,TD POWER SYSTEMS LIMITED,INE419M01027,52,1087.21,1548.80,56534.92,80537.60,26803.96,24002.68,42.46,NSE_ISIN_MATCH
TECHM,TECMAH,TECH MAHINDRA LIMITED,INE669C01036,90,1220.29,1610.00,109826.10,144900.00,221748.69,35073.90,31.94,NSE_ISIN_MATCH
TIMEX,TIMGRO,TIMEX GROUP INDIA LIMITED,INE064A01026,30,358.75,541.30,10762.50,16239.00,6327.72,5476.50,50.89,NSE_ISIN_MATCH
TITAN,TITIND,TITAN COMPANY LIMITED,INE280A01028,7,3650.22,5068.50,25551.54,35479.50,3498.67,9927.96,38.85,NSE_ISIN_MATCH
LEGACY_TATAMOTORS_DVR,TMLDVR,TATA MOTORS LTD - DVR,IN9155A01020,10,774.00,768.65,7740.00,7686.50,11872.87,-53.50,-0.69,LEGACY_OR_UNMAPPED
LEGACY_UJJIVAN_FIN_SERVICES,UJJFIN,UJJIVAN FINANCIAL SERVICES LTD,INE334L01012,75,540.00,589.50,40500.00,44212.50,35832.69,3712.50,9.17,LEGACY_OR_UNMAPPED
UJJIVANSFB,UJJSMA,UJJIVAN SMALL FINANCE BANK LTD,INE551W01018,600,59.82,72.21,35892.00,43326.00,(43805.99),7434.00,20.71,NSE_ISIN_MATCH
VBL,VARBEV,VARUN BEVERAGES LIMITED,INE200M01039,80,627.93,433.85,50234.40,34708.00,35166.27,-15526.40,-30.91,NSE_ISIN_MATCH
