"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","CONFIDENCE_ANALYSIS_DATE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","RISK_PERFORMANCE"
575,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",234.42,0.03,3.49,2.51,69.3,59.3,"STRONG_BULLISH",38.83,12,8,20,61.4,60.24,65,60.25,60,139534150.97,"BUY","2025-08-29",1,0.693,1,0.8772,"Very High",2025-09-01,0.798254971392453,0.0999998763483018,10,0.495674550389197,"Moderate","Excellent"
5,"GODFRYPHLP","GODFREY PHILLIPS INDIA LT","LARGE_CAP",11003.5,3.87,4.14,17.18,68.7,61.1,"STRONG_BULLISH",38.52,20,14,0,NA,NA,NA,NA,NA,15324116039,"BUY","2025-08-29",1,0.687,1,0.8748,"Very High",2025-09-01,0.615315961744636,0.181946285087615,10,0.472975915280463,"Excellent","Excellent"
59,"DABUR","DABUR INDIA LTD","MID_CAP",521.1,1.41,1,-0.17,68.7,53.3,"STRONG_BULLISH",14.4,9,15,15,51.29,50.22,47,54.77,56.67,1946795378.45,"BUY","2025-08-29",1,0.687,0.7,0.7848,"High",2025-09-01,0.707588974526152,0.0942979526054114,9,0.322484258083644,"Moderate","Excellent"
149,"BLACKBUCK","ZINKA LOGISTICS SOL LTD","MID_CAP",636.75,3.44,-1.16,37.53,68.7,69.8,"STRONG_BULLISH",52.7,15,14,20,62.86,66.96,62,58.64,59,960972145.95,"BUY","2025-08-29",1,0.687,1,0.8748,"Very High",2025-09-01,0.7955705486238,0.151214928580448,7,0.739692483458149,"Excellent","Excellent"
24,"NAVA","NAVA LIMITED","LARGE_CAP",687.6,4.79,2.34,12.7,67.3,67.9,"STRONG_BULLISH",28.18,20,12,0,NA,NA,NA,NA,NA,3593435683.45,"BUY","2025-08-29",1,0.673,1,0.8692,"Very High",2025-09-01,0.621934943879023,0.139070334592834,11,0.367847629240649,"Good","Excellent"
80,"GARUDA","GARUDA CONSTRUCT N ENG L","MID_CAP",216.33,9.66,12.53,11.65,67.3,66.1,"STRONG_BULLISH",77.17,20,12,0,NA,NA,NA,NA,NA,1628760604.08,"BUY","2025-08-29",1,0.673,1,0.8692,"Very High",2025-09-01,0.672514435602352,0.104181718090549,6,0.318126138726673,"Good","Excellent"
377,"BLUESTARCO","BLUE STAR LIMITED","MICRO_CAP",1881.7,0.09,-1.99,7.24,67.3,58,"STRONG_BULLISH",18.91,11,12,25,72.84,74.35,86,58.5,66,297460188.9,"BUY","2025-08-29",1,0.673,0.7,0.7792,"High",2025-09-01,0.699963871575892,0.15680171190761,7,0.522609436174191,"Excellent","Excellent"
29,"LTF","L&T FINANCE LIMITED","LARGE_CAP",217.16,0.33,-2.49,6.76,66.7,60.2,"STRONG_BULLISH",18.62,16,15,0,NA,NA,NA,NA,NA,3366873217.53,"BUY","2025-08-29",1,0.667,0.7,0.7768,"High",2025-09-01,0.782525680307299,0.15776194287464,8,0.725427917639027,"Excellent","Excellent"
192,"DATAMATICS","DATAMATICS GLOBAL SER LTD","SMALL_CAP",1010.35,3.32,3.08,7.72,66.7,59.6,"BULLISH",69.74,14,10,15,55.34,56.74,53,56.45,54,722515161.95,"BUY","2025-08-29",1,0.667,1,0.8668,"Very High",2025-09-01,0.714412166923285,0.192947388859466,6,0.675614877499475,"Excellent","Excellent"
411,"ANANDRATHI","ANAND RATHI WEALTH LTD","MICRO_CAP",2793.9,0.93,-0.44,4.59,66.7,64.3,"STRONG_BULLISH",37.98,11,15,15,50.33,50.65,47,56.59,46.67,255781279.5,"BUY","2025-08-29",1,0.667,1,0.8668,"Very High",2025-09-01,0.604558914946392,0.0961599687021226,7,0.243171416265679,"Moderate","Excellent"
543,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MICRO_CAP",481.95,0.19,-5.83,-6.54,66.7,44.4,"BULLISH",9.93,7,11,25,71.28,74.57,82,59.77,60,153304419,"BUY","2025-08-29",1,0.667,0.5,0.7168,"High",2025-09-01,0.77104592518881,0.15149380533956,11,0.661677698745878,"Excellent","Excellent"
240,"ASTERDM","ASTER DM HEALTHCARE LTD.","SMALL_CAP",601.05,1.11,-0.24,1.4,66,50.4,"STRONG_BULLISH",9.08,6,15,20,60.89,64.13,56,56.68,66,530649079.15,"BUY","2025-08-29",1,0.66,0.5,0.714,"High",2025-09-01,0.766096848342568,0.0941089300997555,8,0.402341436756631,"Moderate","Excellent"
567,"LANDMARK","LANDMARK CARS LIMITED","MICRO_CAP",603.05,3.12,5.82,23.5,66,75.1,"STRONG_BULLISH",27.02,20,13,0,NA,NA,NA,NA,NA,144540855.75,"BUY","2025-08-29",0.7,0.66,1,0.774,"High",2025-09-01,0.775630212621763,0.0868857207987457,6,0.387243406583419,"Moderate","Excellent"
288,"PGHL","PROCTER & GAMBLE HEALTH L","SMALL_CAP",6370,1.14,-3.21,7.11,65.3,58.2,"STRONG_BULLISH",10.62,14,15,0,NA,NA,NA,NA,NA,434092067,"BUY","2025-08-29",1,0.653,0.7,0.7712,"High",2025-09-01,0.761920437868685,0.186511071231216,6,0.783398077355098,"Excellent","Excellent"
323,"AVANTEL","AVANTEL LIMITED","MICRO_CAP",149.76,2.81,0.52,13.75,65.3,60.6,"BULLISH",1.42,11,16,15,51.41,52.39,47,57.5,48,373607212.4,"BUY","2025-08-29",1,0.653,0.5,0.7112,"High",2025-09-01,0.600013067340478,0.155570778883994,8,0.38893965322717,"Excellent","Excellent"
554,"CHALET","CHALET HOTELS LIMITED","MICRO_CAP",1010.3,-0.73,-0.9,12.87,64.7,65.9,"STRONG_BULLISH",15.34,13,10,20,66.69,71.3,68,58.57,63,148856460.55,"HOLD","2025-08-29",1,0.647,0.7,0.7688,"High",2025-09-01,0.512081258185208,0.045935374184046,5,0.0941455415571687,"Poor","Moderate"
765,"MAHKTECH","MIRAEAMC - MAHKTECH","MICRO_CAP",25.85,3.15,4.32,10.66,64.7,72.4,"STRONG_BULLISH",21.03,16,15,0,NA,NA,NA,NA,NA,73160858.31,"HOLD","2025-08-29",0.7,0.647,1,0.7688,"High",2025-09-01,0.485069648781791,0.0196810854016803,8,0.038220868812878,"Poor","Poor"
1131,"BHAGERIA","BHAGERIA INDUSTRIES LTD","MICRO_CAP",192.43,3.05,7.71,-4.92,64.7,60.3,"BEARISH",6.91,8,16,15,52.11,49.57,51,54.55,57.5,19400906.73,"HOLD","2025-08-29",1,0.647,0.5,0.7088,"High",2025-09-01,0.621379769034684,-0.0239663436892442,7,-0.0632991629320507,"Negative","Negative"
11,"HBLENGINE","HBL ENGINEERING LTD","LARGE_CAP",807.1,3.36,0.81,38.63,64,77.2,"STRONG_BULLISH",42.93,16,14,0,NA,NA,NA,NA,NA,6945891267.05,"HOLD","2025-08-29",0.7,0.64,1,0.766,"High",2025-09-01,0.64049385865219,0.0482825092156418,5,0.134302321052507,"Poor","Good"
19,"BRITANNIA","BRITANNIA INDUSTRIES LTD","LARGE_CAP",5824,1.8,5.02,1.34,64,60.4,"BULLISH",8.09,5,13,15,52.36,51.96,47,54.77,59.17,4075925105,"HOLD","2025-08-29",1,0.64,0.5,0.706,"High",2025-09-01,0.467324596783146,0.0285618059337139,4,0.0536195321977094,"Poor","Moderate"
76,"CUMMINSIND","CUMMINS INDIA LTD","MID_CAP",3826.2,-0.23,-2.29,6.82,64,62.7,"STRONG_BULLISH",20.31,11,12,15,53.02,50.65,51,55.68,59.17,1663575607.8,"HOLD","2025-08-29",1,0.64,1,0.856,"Very High",2025-09-01,0.572934428602457,0.0731066522188485,8,0.171183670881293,"Moderate","Good"
342,"AADHARHFC","AADHAR HOUSING FINANCE L","MICRO_CAP",502.95,1.2,-3.62,-0.91,64,51.1,"STRONG_BULLISH",17.85,9,11,15,52.3,51.19,47,57.63,57,341288966.3,"HOLD","2025-08-29",1,0.64,0.7,0.766,"High",2025-09-01,0.530389934126288,0.0308935804641806,8,0.0657856010958855,"Poor","Moderate"
441,"MAHSCOOTER","MAHARASHTRA SCOOTERS LTD","MICRO_CAP",15876,0.98,1.86,0.51,64,60.4,"STRONG_BULLISH",15.23,12,15,0,NA,NA,NA,NA,NA,224473933,"HOLD","2025-08-29",1,0.64,0.7,0.766,"High",2025-09-01,0.483933379501104,0.0455876408726908,6,0.0883367361148451,"Poor","Moderate"
851,"AVL","ADITYA VISION LIMITED","MICRO_CAP",503.15,1.29,0.18,27.96,64,69.7,"BULLISH",48.68,15,6,25,73.11,74.35,86,59.86,66,51383531.85,"HOLD","2025-08-29",1,0.64,1,0.856,"Very High",2025-09-01,0.616391527187079,0.0440797571325675,7,0.114908194830369,"Poor","Good"
96,"RELAXO","RELAXO FOOT LTD.","MID_CAP",477.6,6.68,0.16,-1.11,63.3,55.8,"BULLISH",17.71,13,16,0,NA,NA,NA,NA,NA,1445836103.45,"HOLD","2025-08-29",1,0.633,0.7,0.7632,"High",2025-09-01,0.583579616481438,-0.045835847419221,4,-0.110071094579783,"Negative","Negative"
3,"RBLBANK","RBL BANK LIMITED","LARGE_CAP",261.05,4.07,3.12,-0.27,62.7,54.5,"BULLISH",17.86,13,15,0,NA,NA,NA,NA,NA,17202268204.25,"HOLD","2025-08-29",1,0.627,0.7,0.7608,"High",2025-09-01,0.553742895787582,-0.0382117951754481,4,-0.0856273094921067,"Negative","Negative"
150,"LALPATHLAB","DR. LAL PATH LABS LTD.","MID_CAP",3308.9,-0.43,-1.96,6.77,62.7,58.1,"STRONG_BULLISH",17.23,16,10,0,NA,NA,NA,NA,NA,958273634.5,"HOLD","2025-08-29",1,0.627,0.7,0.7608,"High",2025-09-01,0.555340893287212,0.0563168691005558,6,0.126651783917993,"Moderate","Good"
391,"SEAMECLTD","SEAMEC LIMITED","MICRO_CAP",988.1,8.21,10.06,21.81,62.7,78.3,"BULLISH",20.5,18,14,0,NA,NA,NA,NA,NA,281271264.4,"HOLD","2025-08-29",0.7,0.627,1,0.7608,"High",2025-09-01,0.592923081154004,0.070362369378563,4,0.172847847964532,"Moderate","Good"
675,"LOTUSEYE","LOTUS EYE HOSP & INST L","MICRO_CAP",116.84,6.98,19.43,60.63,62.7,92.6,"STRONG_BULLISH",65.95,20,12,0,NA,NA,NA,NA,NA,97025146.72,"HOLD","2025-08-29",0.3,0.627,1,0.6408,"High",2025-09-01,0.623282175511122,-0.00806543681537732,4,-0.0214097562978877,"Negative","Negative"
761,"AUTOIETF","ICICIPRAMC - ICICIAUTO","MICRO_CAP",25.61,-1.04,-1.39,5.05,62.7,59.3,"STRONG_BULLISH",10.82,14,12,0,10,10,10,10,10,73919195.67,"HOLD","2025-08-29",1,0.627,0.7,0.7608,"High",2025-09-01,0.639561994746327,-0.0239930481882766,5,-0.0665663660284396,"Negative","Negative"
1759,"CCHHL","COUNTRY CLUB HOSP HOL LTD","MICRO_CAP",18.34,0.38,3.97,1.16,62.7,52.9,"STRONG_BULLISH",11.46,7,8,25,70.4,72.83,86,55.71,57.5,1307179.26,"HOLD","2025-08-29",1,0.627,0.7,0.7608,"High",2025-09-01,0.629087850637734,-0.0354867924936116,4,-0.095674386925924,"Negative","Negative"
187,"DELHIVERY","DELHIVERY LIMITED","SMALL_CAP",468.05,-0.23,-1.17,14.4,62,61.2,"STRONG_BULLISH",31.69,15,10,15,53.74,51.96,47,57.27,65,774523391.95,"HOLD","2025-08-29",1,0.62,1,0.848,"Very High",2025-09-01,0.613229003502056,-0.00470532594481483,5,-0.0121656638874674,"Negative","Negative"
962,"PRAENG","PRAJAY ENG. SYN. LTD.","MICRO_CAP",27.18,15.56,20.48,39.24,62,74.9,"BULLISH",20.33,18,12,0,NA,NA,NA,NA,NA,35421973.32,"HOLD","2025-08-29",0.7,0.62,1,0.758,"High",2025-09-01,0.480418648896739,-0.019190073327627,7,-0.0369337222879141,"Negative","Negative"
1004,"CENTUM","CENTUM ELECTRONICS LTD","MICRO_CAP",2753.5,2.43,0.44,24.04,62,64.9,"STRONG_BULLISH",17.78,13,6,20,64.92,71.74,60,61.14,60,30609257.4,"HOLD","2025-08-29",1,0.62,0.7,0.758,"High",2025-09-01,0.59456073124893,0.0550137229845859,6,0.135689182634066,"Moderate","Good"
57,"ADANIPOWER","ADANI POWER LTD","MID_CAP",600.65,0.96,1.07,1.86,61.3,55.2,"STRONG_BULLISH",12.63,8,15,0,10,10,10,10,10,2148144525.8,"HOLD","2025-08-29",1,0.613,0.7,0.7552,"High",2025-09-01,0.578840168192983,-0.0026632864261046,4,-0.00632369524576352,"Negative","Negative"
221,"GOODLUCK","GOODLUCK INDIA LIMITED","SMALL_CAP",1191.2,2.7,5.93,7.44,61.3,65.6,"BULLISH",13.15,14,12,0,NA,NA,NA,NA,NA,592963350.9,"HOLD","2025-08-29",1,0.613,0.7,0.7552,"High",2025-09-01,0.58765639453195,0.000433396454900508,5,0.00105105656824376,"Poor","Poor"
232,"ESCORTS","ESCORTS KUBOTA LIMITED","SMALL_CAP",3567.8,2.66,-0.05,4.03,61.3,58.8,"STRONG_BULLISH",12.68,8,20,0,NA,NA,NA,NA,NA,545276462.7,"HOLD","2025-08-29",1,0.613,0.7,0.7552,"High",2025-09-01,0.486984773026779,-0.0155927760759369,5,-0.0303943728296992,"Negative","Negative"
257,"CUPID","CUPID LIMITED","SMALL_CAP",172.29,0.17,0.2,14.58,61.3,71.5,"STRONG_BULLISH",92.72,15,11,15,52.86,51.84,53,58.35,48,490457196.06,"HOLD","2025-08-29",0.7,0.613,1,0.7552,"High",2025-09-01,0.474669406935573,0.014645684696734,6,0.0278789868515002,"Poor","Poor"
523,"RELIABLE","RELIABLE DATA SERVICE LTD","MICRO_CAP",163.91,10,73.45,108.01,61.3,90.4,"STRONG_BULLISH",117.37,20,10,0,NA,NA,NA,NA,NA,167873600.43,"HOLD","2025-08-29",0.3,0.613,1,0.6352,"High",2025-09-01,0.563435331359506,0.0137207265594043,4,0.031428852458748,"Poor","Poor"
1054,"KAUSHALYA","KAUSHALYA INFRA DEV LTD.","MICRO_CAP",1169.45,9.3,18.38,33.23,61.3,75,"BULLISH",30.76,20,10,0,NA,NA,NA,NA,NA,25462070.7,"HOLD","2025-08-29",0.7,0.613,1,0.7552,"High",2025-09-01,0.60986411604099,-0.0202912414213642,6,-0.05201070256715,"Negative","Negative"
1359,"ALLDIGI","ALLDIGI TECH LIMITED","MICRO_CAP",970.75,2.32,0.88,-7.29,61.3,45.7,"BULLISH",10.45,6,20,15,51.71,50.22,47,56.59,57,8826473.15,"HOLD","2025-08-29",1,0.613,0.7,0.7552,"High",2025-09-01,0.618447980191559,0.0893379978137091,4,0.234143689918249,"Moderate","Excellent"
455,"CRAFTSMAN","CRAFTSMAN AUTOMATION LTD","MICRO_CAP",6912.5,-0.78,1.31,0.71,60.7,57.8,"STRONG_BULLISH",35.36,11,12,15,54.65,50.22,53,57.05,66,212421999,"HOLD","2025-08-29",1,0.607,1,0.8428,"Very High",2025-09-01,0.591225492954254,-0.0196332481573336,6,-0.048029531731871,"Negative","Negative"
95,"LEMONTREE","LEMON TREE HOTELS LTD","MID_CAP",165.83,-1.17,-2.14,10.96,60,64.5,"STRONG_BULLISH",25.36,18,8,0,NA,NA,NA,NA,NA,1446359909.41,"HOLD","2025-08-29",1,0.6,1,0.84,"Very High",2025-09-01,0.62739159562625,0.0951650961302221,5,0.255402441311456,"Moderate","Excellent"
199,"SHAILY","SHAILY ENG PLASTICS LTD","SMALL_CAP",2232,5.68,6.11,37.95,60,78.3,"STRONG_BULLISH",29.23,15,14,0,NA,NA,NA,NA,NA,670318230.8,"HOLD","2025-08-29",0.7,0.6,1,0.75,"High",2025-09-01,0.581350836576894,0.059089021733962,4,0.141142099152468,"Moderate","Good"
474,"ASAHIINDIA","ASAHI INDIA GLASS LIMITED","MICRO_CAP",836.3,-3.64,-5.27,-1.51,60,47.3,"STRONG_BULLISH",12.01,7,12,15,52.31,50.43,51,56.45,54,193975669.5,"HOLD","2025-08-29",1,0.6,0.7,0.75,"High",2025-09-01,0.479852031031623,-0.0408192700590007,7,-0.0784762653980148,"Negative","Negative"
315,"SUDARSCHEM","SUDARSHAN CHEMICAL INDS L","MICRO_CAP",1495.6,-0.31,4.73,5.29,59.3,69.2,"STRONG_BULLISH",23.96,16,4,0,NA,NA,NA,NA,NA,398545539.6,"HOLD","2025-08-29",1,0.593,1,0.8372,"Very High",2025-09-01,0.554561439855024,0.075299416272901,4,0.169045572184845,"Moderate","Good"
637,"CCL","CCL PRODUCTS (I) LTD","MICRO_CAP",871.5,2.07,-1.25,3.04,59.3,49.3,"STRONG_BULLISH",12.82,7,16,15,55.23,51.9,55,56.36,63,109511745.55,"HOLD","2025-08-29",1,0.593,0.7,0.7472,"High",2025-09-01,0.505257733771577,0.00177898070542142,5,0.00359577264134548,"Poor","Poor"
794,"CENTURYPLY","CENTURY PLYBOARDS (I) LTD","MICRO_CAP",746.4,2.11,1.19,1.79,59.3,53.7,"STRONG_BULLISH",3.09,2,16,15,53,51.09,47,56.82,63,63340410.4,"HOLD","2025-08-29",1,0.593,0.5,0.6872,"High",2025-09-01,0.470371162286028,-0.0314166189986281,8,-0.0593181805096398,"Negative","Negative"
846,"DECCANCE","DECCAN CEMENTS LIMITED","MICRO_CAP",1010.4,-1.05,-4.02,-3.13,59.3,46.1,"BULLISH",41.23,10,6,25,70.52,74.35,86,55.91,54,52157025.8,"HOLD","2025-08-29",1,0.593,1,0.8372,"Very High",2025-09-01,0.45618227282539,0.00507621095748619,5,0.00933439772892197,"Poor","Poor"
1231,"BALKRISHNA","BALKRISHNA PAPER MILLS L","MICRO_CAP",21.35,-7.74,-1.75,3.84,59.3,53.4,"BULLISH",5.73,9,4,15,50.18,49.2,47.5,52.62,54,14238324.31,"HOLD","2025-08-29",1,0.593,0.5,0.6872,"High",2025-09-01,0.562206992972642,-0.0143486397108063,8,-0.0327749403953126,"Negative","Negative"
1308,"CLEDUCATE","CL EDUCATE LIMITED","MICRO_CAP",109.95,-3.64,-5.43,20.85,59.3,61.6,"STRONG_BULLISH",26.47,15,6,15,59.78,62.61,64,53.18,54,10850177.57,"HOLD","2025-08-29",1,0.593,1,0.8372,"Very High",2025-09-01,0.600989861181006,0.00943088011117653,6,0.0236356904089967,"Poor","Poor"
1679,"RHL","ROBUST HOTELS LIMITED","MICRO_CAP",288.35,0.65,-1.01,2.49,59.3,59,"STRONG_BULLISH",18.38,10,15,0,NA,NA,NA,NA,NA,1960548.2,"HOLD","2025-08-29",1,0.593,0.7,0.7472,"High",2025-09-01,0.629050530446693,-0.0113330932683311,4,-0.0305515823542714,"Negative","Negative"
189,"SYRMA","SYRMA SGS TECHNOLOGY LTD","SMALL_CAP",753.25,1.98,0.98,-1.27,58.7,62,"STRONG_BULLISH",46.5,11,13,0,NA,NA,NA,NA,NA,752819279.2,"HOLD","2025-08-29",1,0.587,1,0.8348,"Very High",2025-09-01,0.602379694161937,0.0461988765979186,7,0.116188423779176,"Poor","Good"
220,"QPOWER","QUALITY POWER ELEC EQUP L","SMALL_CAP",784.1,0.61,-0.58,2.35,58.7,52.1,"STRONG_BULLISH",50.03,11,13,0,NA,NA,NA,NA,NA,593518511,"HOLD","2025-08-29",1,0.587,1,0.8348,"Very High",2025-09-01,0.504072768054903,-0.0433196570142172,6,-0.0873508333960838,"Negative","Negative"
268,"SILVERIETF","ICICIPRAMC - ICICISILVE","SMALL_CAP",118.19,0.71,3.29,3.34,58.7,63.5,"STRONG_BULLISH",10.52,8,11,0,NA,NA,NA,NA,NA,471060721.4,"HOLD","2025-08-29",1,0.587,0.7,0.7448,"High",2025-09-01,0.596182523714379,0.0601267361314967,4,0.14889582462986,"Moderate","Good"
303,"PRICOLLTD","PRICOL LIMITED","MICRO_CAP",459.85,2.92,2.62,4.92,58.7,59.4,"BULLISH",8.27,5,20,0,NA,NA,NA,NA,NA,407924734.3,"HOLD","2025-08-29",1,0.587,0.5,0.6848,"High",2025-09-01,0.457172663975507,0.0121385334408842,4,0.0223616841586926,"Poor","Poor"
