ADANIENT	ADANI ENTERPRISES LIMITED
3IINFOLTD	3I INFOTECH LIMITED
3MINDIA	3M INDIA LIMITED
3PLAND	3P LAND HOLDINGS LIMITED
5PAISA	5PAISA CAPITAL LIMITED
63MOONS	63 MOONS TECHNOLOGIES LTD
AAATECH	AAA TECHNOLOGIES LIMITED
AADHARHFC	AADHAR HOUSING FINANCE L
AAKAAR	AAKAAR MEDICAL TECHNO LTD
AARADHYA	AARADHYA DISPOSAL INDUS L
AARON	AARON INDUSTRIES LIMITED
AARTECH	AARTECH SOLONICS LIMITED
AARTIDRUGS	AARTI DRUGS LTD.
AARTIIND	AARTI INDUSTRIES LTD
AARTIPHARM	AARTI PHARMALABS LIMITED
AARVI	AARVI ENCON LIMITED
AATMAJ	AATMAJ HEALTHCARE LIMITED
AAVAS	AAVAS FINANCIERS LIMITED
ABAN	ABAN OFFSHORE LTD.
ABBOTINDIA	ABBOTT INDIA LIMITED
ABCAPITAL	ADITYA BIRLA CAPITAL LTD.
ABCOTS	A B COTSPIN INDIA LIMITED
ABDL	ALLIED BLEND N DISTILS L
ABFRL	ADITYA BIRLA FASHION & RT
ABLBL	ADITYA BIRLA LIFES BRAN L
ABREL	ADITYA BIRLA REAL EST LTD
ABSLAMC	ADIT BIRL SUN LIF AMC LTD
ABSMARINE	ABS MARINE SERVICES LTD
ACC	ACC LIMITED
ACCELYA	ACCELYA SOLN INDIA LTD
ACCORD	ACCORD SYNERGY LIMITED
ACCURACY	ACCURACY SHIPPING LIMITED
ACE	ACTION CONST EQUIP LTD
ACEINTEG	ACE INTEGRATED SOLU. LTD.
ACI	ARCHEAN CHEMICAL IND LTD
ACL	ANDHRA CEMENTS LIMITED
ACLGATI	ALLCARGO GATI LIMITED
ACMESOLAR	ACME SOLAR HOLDINGS LTD
ACTIVEINFR	ACTIVE INFRASTRUCTURES L
ACUTAAS	ACUTAAS CHEMICALS LIMITED
ADFFOODS	ADF FOODS LIMITED
ADL	ARCHIDPLY DECOR LIMITED
ADOR	ADOR WELDING LTD
ADROITINFO	ADROIT INFOTECH LIMITED
ADSL	ALLIED DIGITAL SERV. LTD
ADVANIHOTR	ADVANI HOT.& RES.(I) LTD
ADVENZYMES	ADVANCED ENZYME TECH LTD
AEGISLOG	AEGIS LOGISTICS LIMITED
AEGISVOPAK	AEGIS VOPAK TERMINALS LTD
AEROENTER	AEROFLEX ENTERPRISES LTD
AEROFLEX	AEROFLEX INDUSTRIES LTD
AERON	AERON COMPOSITE LIMITED
AETHER	AETHER INDUSTRIES LIMITED
AFCONS	AFCONS INFRASTRUCTURE LTD
AFFLE	AFFLE 3I LIMITED
AFFORDABLE	AFFORD ROBO & AUTO LTD
AFIL	AKME FINTRADE (INDIA) LTD
AFSL	ABANS FINANCIAL SRVCS LTD
AGARIND	AGARWAL INDS CORP LTD.
AGARWALEYE	DR AGARWALS HEALTH CARE L
AGARWALFT	AGARWAL FLOAT GLASS I LTD
AGARWALTUF	AGARWAL TOUGH GLASS IND L
AGI	AGI GREENPAC LIMITED
AGIIL	AGI INFRA LIMITED
AGNI	AGNI GREEN POWER LTD
AGRITECH	AGRI-TECH (INDIA) LIMITED
AGUL	A G UNIVERSAL LIMITED
AHLADA	AHLADA ENGINEERS LIMITED
AHLEAST	ASIAN HOTELS (EAST) LTD
AHLUCONT	AHLUWALIA CONT IND LTD
AIAENG	AIA ENGINEERING LIMITED
AIIL	AUTHUM INVEST & INFRA LTD
AILIMITED	ABHISHEK INTEGRATIONS LTD
AIMTRON	AIMTRON ELECTRONICS LTD
AIRAN	AIRAN LIMITED
AIROLAM	AIRO LAM LIMITED
AIRTELPP	AIRTEL RS. 1.25 PPD UP
AISL	ANI INTEGRATED SERV LTD.
AJANTPHARM	AJANTA PHARMA LIMITED
AJAXENGG	AJAX ENGINEERING LIMITED
AJMERA	AJMERA REALTY & INF I LTD
AJOONI	AJOONI BIOTECH LIMITED
AKASH	AKASH INFRA-PROJECTS LTD
AKG	AKG EXIM LIMITED
AKSHAR	AKSHAR SPINTEX LIMITED
AKSHARCHEM	AKSHARCHEM INDIA LIMITED
AKSHOPTFBR	AKSH OPTIFIBRE LIMITED
AKUMS	AKUMS DRUGS AND PHARMA L
AKZOINDIA	AKZO NOBEL INDIA LIMITED
ALANKIT	ALANKIT LIMITED
ALBERTDAVD	ALBERT DAVID LIMITED
ALEMBICLTD	ALEMBIC LIMITED
ALICON	ALICON CASTALLOY LIMITED
ALIVUS	ALIVUS LIFE SCIENCES LTD
ALKALI	ALKALI METALS LTD
ALKEM	ALKEM LABORATORIES LTD.
ALKYLAMINE	ALKYL AMINES CHEM. LTD
ALLCARGO	ALLCARGO LOGISTICS LTD
ALLDIGI	ALLDIGI TECH LIMITED
ALLETEC	ALL E TECHNOLOGIES LTD
ALLTIME	ALL TIME PLASTICS LIMITED
ALMONDZ	ALMONDZ GLOBAL SEC LTD
ALOKINDS	ALOK INDUSTRIES LIMITED
ALPA	ALPA LABORATORIES LTD
ALPEXSOLAR	ALPEX SOLAR LIMITED
ALPHAGEO	ALPHAGEO (INDIA) LIMITED
AMBER	AMBER ENTERPRISES (I) LTD
AMBEY	AMBEY LABORATORIES LTD
AMBICAAGAR	AMBICA AGAR & AROMAINDLTD
AMBIKCO	AMBIKA COTTON MILL LTD.
AMDIND	AMD INDUSTRIES LIMITED
AMEYA	AMEYA PRECISION ENG LTD
AMJLAND	AMJ LAND HOLDINGS LIMITED
AMNPLST	AMINES & PLASTICIZERS LTD
AMRUTANJAN	AMRUTAJAN HEALTH LTD
ANANDRATHI	ANAND RATHI WEALTH LTD
ANANTRAJ	ANANT RAJ LIMITED
ANDHRAPAP	ANDHRA PAPER LIMITED
ANDHRSUGAR	ANDHRA SUGARS LTD
ANGELONE	ANGEL ONE LIMITED
ANIKINDS	ANIK INDUSTRIES LTD
ANMOL	ANMOL INDIA LIMITED
ANNAPURNA	ANNAPURNA SWADISHT LTD
ANTGRAPHIC	ANTARCTICA LTD
ANTHEM	ANTHEM BIOSCIENCES LTD
ANUHPHR	ANUH PHARMA LIMITED
ANUP	THE ANUP ENGINEERING LTD
ANURAS	ANUPAM RASAYAN INDIA LTD
ANYA	ANYA POLYTECH & FERTI LTD
ANZEN	ANZEN IND ENE YLD PLU TRU
APARINDS	APAR INDUSTRIES LTD.
APCOTEXIND	APCOTEX INDUSTRIES LIMITE
APEX	APEX FROZEN FOODS LIMITED
APEXECO	APEX ECOTECH LIMITED
APLAPOLLO	APL APOLLO TUBES LTD
APLLTD	ALEMBIC PHARMA LTD
APOLLO	APOLLO MICRO SYSTEMS LTD
APOLLOPIPE	APOLLO PIPES LIMITED
APOLLOTYRE	APOLLO TYRES LTD
APOLSINHOT	APOLLO SINDOORI HOTEL LTD
APTUS	APTUS VALUE HSG FIN I LTD
ARCHIDPLY	ARCHIDPLY IND. LTD
ARE&M	AMARA RAJA ENERGY MOB LTD
ARFIN	ARFIN INDIA LIMITED
ARHAM	ARHAM TECHNOLOGIES LTD
ARIES	ARIES AGRO LTD.
ARIHANTACA	ARIHANT ACADEMY LIMITED
ARIHANTCAP	ARIHANT CAPITAL MKTS LTD
ARIHANTSUP	ARIHANT SUPERSTRUCT LTD
ARISINFRA	ARISINFRA SOLUTIONS LTD
ARKADE	ARKADE DEVELOPERS LIMITED
ARMANFIN	ARMAN FIN SERV LTD
AROGRANITE	ARO GRANITE IND. LTD.
ARROWGREEN	ARROW GREENTECH LIMITED
ARTEMISMED	ARTEMIS MED SERVICE LTD
ARVEE	ARVEE LABORATORIES I LTD
ARVIND	ARVIND LIMITED
ARVINDFASN	ARVIND FASHIONS LIMITED
ARVSMART	ARVIND SMARTSPACES LTD
ASAHIINDIA	ASAHI INDIA GLASS LIMITED
ASAHISONG	ASAHI SONGWON COLOR LTD
ASAL	AUTOMOTIVE STAMPINGS & AS
ASALCBR	ASSO ALCOHOLS & BREW LTD
ASHALOG	ASHAPURA LOGISTICS LTD
ASHAPURMIN	ASHAPURA MINECHEM LTD
ASHIANA	ASHIANA HOUSING LTD
ASHIMASYN	ASHIMA LTD
ASHOKA	ASHOKA BUILDCON LTD
ASHOKAMET	ASHOKA METCAST LIMITED
ASHOKLEY	ASHOK LEYLAND LTD
ASIANENE	ASIAN ENERGY SERVICES LTD
ASIANHOTNR	ASIAN HOTELS (NORTH) LTD
ASKAUTOLTD	ASK AUTOMOTIVE LIMITED
ASMS	BARTRONICS INDIA LIMITED
ASPINWALL	ASPINWALL & CO LTD
ASTEC	ASTEC LIFESCIENCES LTD
ASTERDM	ASTER DM HEALTHCARE LTD.
ASTRAL	ASTRAL LIMITED
ASTRAMICRO	ASTRA MICROWAVE LTD
ASTRAZEN	ASTRAZENECA PHARMA IND LT
ASTRON	ASTRON PAPER BORD MIL LTD
ATAM	ATAM VALVES LIMITED
ATCENERGY	ATC ENERGIES SYSTEM LTD
ATGL	ADANI TOTAL GAS LIMITED
ATHERENERG	ATHER ENERGY LIMITED
ATL	ALLCARGO TERMINALS LTD
ATLANTAA	ATLANTAA LIMITED
ATMASTCO	ATMASTCO LIMITED
ATUL	ATUL LTD
ATULAUTO	ATUL AUTO LIMITED
AUBANK	AU SMALL FINANCE BANK LTD
AURIONPRO	AURIONPRO SOLN LTD
AUROIMPEX	AURO IMPEX & CHEMICALS L
AUROPHARMA	AUROBINDO PHARMA LTD
AURUM	AURUM PROPTECH LIMITED
AUTOAXLES	AUTOMOTIVE AXLES LIMITED
AUTOIND	AUTOLINE INDUSTRIES LTD
AVADHSUGAR	AVADH SUG & ENERGY LTD
AVALON	AVALON TECHNOLOGIES LTD
AVANTEL	AVANTEL LIMITED
AVANTIFEED	AVANTI FEEDS LIMITED
AVG	AVG LOGISTICS LIMITED
AVIANSH	AVI ANSH TEXTILE LIMITED
AVL	ADITYA VISION LIMITED
AVONMORE	AVONMORE CAP&MGT SERV LTD
AVPINFRA	AVP INFRACON LIMITED
AVROIND	AVRO INDIA LIMITED
AVTNPL	AVT NATURAL PRODUCTS LTD
AWFIS	AWFIS SPACE SOLUTIONS LTD
AWHCL	ANTONY WASTE HDG CELL LTD
AWL	AWL AGRI BUSINESS LIMITED
AXITA	AXITA COTTON LIMITED
AYMSYNTEX	AYM SYNTEX LIMITED
AZAD	AZAD ENGINEERING LIMITED
BABAFP	BABA FOOD PROCESSING
BAFNAPH	BAFNA PHARMACEUTICALS LTD
BAGFILMS	B.A.G FILMS AND MEDIA LTD
BAHETI	BAHETI RECYCLING IND LTD
BAIDFIN	BAID FINSERV LIMITED
BAJAJCON	BAJAJ CONSUMER CARE LTD
BAJAJELEC	BAJAJ ELECT.LTD
BAJAJHCARE	BAJAJ HEALTHCARE LIMITED
BAJAJHIND	BAJAJ HINDUSTHAN SUGAR LT
BAJAJINDEF	INDEF MANUFACTURING LTD
BALAJEE	SHREE TIRUPATI BALAJEE L
BALAJIPHOS	BALAJI PHOSPHATES LIMITED
BALAMINES	BALAJI AMINES LIMITED
BALAXI	BALAXI PHARMA LTD
BALCO	SOLVE PLASTIC PRODUCTS L
BALKRISHNA	BALKRISHNA PAPER MILLS L
BALKRISIND	BALKRISHNA IND. LTD
BALMLAWRIE	BALMER LAWRIE & CO LTD
BALPHARMA	BAL PHARMA LTD.
BALRAMCHIN	BALRAMPUR CHINI MILLS LTD
BANARBEADS	BANARAS BEADS LTD
BANARISUG	BANNARI AMMAN SUGARS LTD
BANCOINDIA	BANCO PRODUCTS (I) LTD
BANDHANBNK	BANDHAN BANK LIMITED
BANG	BANG OVERSEAS LTD.
BANKA	BANKA BIOLOO LIMITED
BANKINDIA	BANK OF INDIA
BANSALWIRE	BANSAL WIRE INDUSTRIES L
BANSWRAS	BANSWARA SYNTEX LIMITED
BARBEQUE	BARBEQUE NATION HOSP. LTD
BASF	BASF INDIA LTD
BASILIC	BASILIC FLY STUDIO LTD
BASML	BANNARI AM SPIN MILL LTD.
BATAINDIA	BATA INDIA LTD
BAWEJA	BAWEJA STUDIOS LIMITED
BAYERCROP	BAYER CROPSCIENCE LTD
BBL	BHARAT BIJLEE LTD
BBTC	BOMBAY BURMAH TRADING COR
BBTCL	B&B TRIPLEWALL CONT LTD
BCG	BRIGHTCOM GROUP LIMITED
BCLIND	BCL INDUSTRIES LIMITED
BCONCEPTS	BRAND CONCEPTS LIMITED
BDL	BHARAT DYNAMICS LIMITED
BEACON	BEACON TRUSTEESHIP LTD
BEARDSELL	BEARDSELL LIMITED
BECTORFOOD	MRS BECTORS FOOD SPE LTD
BEDMUTHA	BEDMUTHA INDUST LTD
BELLACASA	BELLA CASA FASH AND RET L
BELRISE	BELRISE INDUSTRIES LTD
BEML	BEML LIMITED
BEPL	BHANSALI ENG. POLYMERS LT
BERGEPAINT	BERGER PAINTS (I) LTD
BESTAGRO	BEST AGROLIFE LIMITED
BETA	BETA DRUGS LIMITED
BEWLTD	BEW ENGINEERING LIMITED
BFINVEST	BF INVESTMENT LIMITED
BFUTILITIE	BF UTILITIES LIMITED
BHADORA	BHADORA INDUSTRIES LTD
BHAGCHEM	BHAGIRADHA CHEM & INDS L
BHAGERIA	BHAGERIA INDUSTRIES LTD
BHANDARI	BHANDARI HOSIERY EXP LTD
BHARATFORG	BHARAT FORGE LTD
BHARATGEAR	BHARAT GEARS LTD.
BHARATRAS	BHARAT RASAYAN LTD
BHARATSE	BHARAT SEATS LIMITED
BHARATWIRE	BHARAT WIRE ROPES LTD.
BHARTIHEXA	BHARTI HEXACOM LIMITED
BHEL	BHEL
BIGBLOC	BIGBLOC CONSTRUCTION LTD
BIKAJI	BIKAJI FOODS INTERN LTD
BIL	BHARTIYA INTERNATIONAL
BIOCON	BIOCON LIMITED.
BIRET	BROOKFIELD INDIA RET
BIRLACORPN	BIRLA CORPORATION LTD
BIRLAMONEY	ADITYA BIRLA MONEY LTD
BIRLANU	BIRLANU LIMITED
BLACKBUCK	ZINKA LOGISTICS SOL LTD
BLAL	BEML LAND ASSETS LIMITED
BLBLIMITED	BLB LIMITED
BLISSGVS	BLISS GVS PHARMA LTD
BLKASHYAP	B.L.KASHYAP & SON LTD
BLS	BLS INTL SERVS LTD
BLUEDART	BLUE DART EXPRESS LTD
BLUEJET	BLUE JET HEALTHCARE LTD
BLUEPEBBLE	BLUE PEBBLE LIMITED
BLUESTARCO	BLUE STAR LIMITED
BLUESTONE	BLUESTONE JEWEL LFSTL LTD
BLUEWATER	BLUE WATER LOGISTICS LTD
BLUSPRING	BLUSPRING ENTERPRISES LTD
BMETRICS	BOMBAY METRICS S C LTD
BODALCHEM	BODAL CHEMICALS LTD
BOHRAIND	BOHRA INDUSTRIES LIMITED
BOMDYEING	BOMBAY DYEING & MFG. CO L
BORANA	BORANA WEAVES LIMITED
BOROLTD	BOROSIL LIMITED
BORORENEW	BOROSIL RENEWABLES LTD
BOROSCI	BOROSIL SCIENTIFIC LTD
BOSS	BOSS PACKAGING SOLU LTD
BPL	BPL LTD
BRACEPORT	BRACE PORT LOGISTICS LTD
BRIGADE	BRIGADE ENTER. LTD
BRIGHOTEL	BRIGADE HOTEL VENTURE LTD
BRNL	BHARAT ROAD NETWORK LTD
BSE	BSE LIMITED
BSHSL	BOMBAY SUPER HYBRID SEEDS
BSOFT	BIRLASOFT LIMITED
BTML	BODHI TREE MULTIMEDIA LTD
BUTTERFLY	BTRFLY GANDHI APPL LTD
BVCL	BARAK VALLEY CEM. LTD.
C2C	C2C ADVANCED SYSTEMS LTD
CADSYS	CADSYS (INDIA) LIMITED
CAMPUS	CAMPUS ACTIVEWEAR LIMITED
CAMS	COMPUTER AGE MNGT SER LTD
CANARYS	CANARYS AUTOMATIONS LTD
CANFINHOME	CAN FIN HOMES LTD
CANTABIL	CANTABIL RETAIL LTD
CAPACITE	CAPACITE INFRAPROJECT LTD
CAPINVIT	CAPITAL INFRA TRUST
CAPITALSFB	CAPITAL SMALL FIN BANK L
CAPLIPOINT	CAPLIN POINT LAB LTD.
CARBORUNIV	CARBORUNDUM UNIVERSAL LTD
CARERATING	CARE RATINGS LIMITED
CARRARO	CARRARO INDIA LIMITED
CARTRADE	CARTRADE TECH LIMITED
CARYSIL	CARYSIL LIMITED
CASTROLIND	CASTROL INDIA LIMITED
CCCL	CONS. CONST. CONSORT LTD
CCHHL	COUNTRY CLUB HOSP HOL LTD
CCL	CCL PRODUCTS (I) LTD
CDSL	CENTRAL DEPO SER (I) LTD
CEATLTD	CEAT LIMITED
CEDAAR	CEDAAR TEXTILE LIMITED
CEIGALL	CEIGALL INDIA LIMITED
CELEBRITY	CELEBRITY FASHIONS LTD
CELLO	CELLO WORLD LIMITED
CELLPOINT	CELL POINT (INDIA) LTD
CENTENKA	CENTURY ENKA LTD
CENTEXT	CENTURY EXTRUSIONS LTD
CENTRALBK	CENTRAL BANK OF INDIA
CENTUM	CENTUM ELECTRONICS LTD
CENTURYPLY	CENTURY PLYBOARDS (I) LTD
CERA	CERA SANITARYWARE LTD
CESC	CESC LTD
CEWATER	CONCORD ENVIRO SYSTEMS L
CGCL	CAPRI GLOBAL CAPITAL LTD
CGRAPHICS	CREATIVE GRAPHICS S IND L
CHALET	CHALET HOTELS LIMITED
CHAMBLFERT	CHAMBAL FERTILIZERS LTD
CHAVDA	CHAVDA INFRA LIMITED
CHEMBONDCH	CHEMBOND CHEMICAL LIMITED
CHEMCON	CHEMCON SPECIAL CHEM LTD
CHEMFAB	CHEMFAB ALKALIS LIMITED
CHEMPLASTS	CHEMPLAST SANMAR LIMITED
CHENNPETRO	CHENNAI PETROLEUM CORP LT
CHETANA	CHETANA EDUCATION LIMITED
CHEVIOT	CHEVIOT COMPANY LIMITED
CHOICEIN	CHOICE INTERNATIONAL LTD
CHOLAHLDNG	CHOLAMANDALAM FIN HOL LTD
CIEINDIA	CIE AUTOMOTIVE INDIA LTD
CIFL	CAPITAL INDIA FINANCE LTD
CIGNITITEC	CIGNITI TECHNOLOGIES LTD
CINELINE	CINELINE INDIA LIMITED
CLEAN	CLEAN SCIENCE & TECH LTD
CLEDUCATE	CL EDUCATE LIMITED
CLSEL	CHAMAN LAL SETIA EXP LTD
CMNL	CHAMAN METALLICS LIMITED
CMRSL	CYBER MEDIA RES & SER LTD
CMSINFO	CMS INFO SYSTEMS LIMITED
COASTCORP	COASTAL CORPORATION LTD
COCHINSHIP	COCHIN SHIPYARD LIMITED
COFFEEDAY	COFFEE DAY ENTERPRISE LTD
COFORGE	COFORGE LIMITED
COHANCE	COHANCE LIFESCIENCES LTD
COLPAL	COLGATE PALMOLIVE LTD.
COMPUSOFT	COMPUCOM SOFTWARE LTD
COMSYN	COMMERCIAL SYN BAGS LTD
CONCOR	CONTAINER CORP OF IND LTD
CONCORDBIO	CONCORD BIOTECH LIMITED
CONFIPET	CONFIDENCE PETRO IND LTD.
CONSOFINVT	CONSO. FIN. & HOLD. LTD.
CONTI	CONTINENTAL SEED CHEM LTD
CONTROLPR	CONTROL PRINT LIMITED
COOLCAPS	COOL CAPS INDUSTRIES LTD
CORALFINAC	CORAL INDIA FIN & HOUS LT
CORDSCABLE	CORDS CABLE INDUS LTD.
COROMANDEL	COROMANDEL INTERNTL. LTD
COSMOFIRST	COSMO FIRST LIMITED
COUNCODOS	COUNTRY CONDO S LIMITED
CPCAP	CP CAPITAL LIMITED
CPPLUS	ADITYA INFOTECH LIMITED
CRAFTSMAN	CRAFTSMAN AUTOMATION LTD
CRAYONS	CRAYONS ADVERTISING LTD
CREATIVE	CREATIVE NEWTECH LIMITED
CREDITACC	CREDITACCESS GRAMEEN LTD
CREST	CREST VENTURES LIMITED
CRISIL	CRISIL LTD
CRIZAC	CRIZAC LIMITED
CROMPTON	CROMPT GREA CON ELEC LTD
CROWN	CROWN LIFTERS LIMITED
CSBBANK	CSB BANK LIMITED
CSLFINANCE	CSL FINANCE LIMITED
CUB	CITY UNION BANK LTD
CUBEINVIT	CUBE HIGHWAYS TRUST
CUDML	CASH UR DRIVE MARKETING L
CUMMINSIND	CUMMINS INDIA LTD
CUPID	CUPID LIMITED
CYBERMEDIA	CYBER MEDIA (INDIA) LTD.
CYBERTECH	CYBERTECH SYSTEMS & SOFTW
CYIENT	CYIENT LIMITED
CYIENTDLM	CYIENT DLM LIMITED
DALBHARAT	DALMIA BHARAT LIMITED
DALMIASUG	DALMIA BHARAT SUG IN LTD
DAMCAPITAL	DAM CAPITAL ADVISORS LTD
DAMODARIND	DAMODAR INDUSTRIES LTD
DANISH	DANISH POWER LIMITED
DATAMATICS	DATAMATICS GLOBAL SER LTD
DATAPATTNS	DATA PATTERNS INDIA LTD
DAVANGERE	DAVANGERE SUGAR COMPANY L
DBCORP	D.B.CORP LTD
DBEIL	DEEPAK BUILDERS & ENG I L
DBL	DILIP BUILDCON LIMITED
DBOL	DHAMPUR BIO ORGANICS LTD
DBREALTY	VALOR ESTATE LIMITED
DBSTOCKBRO	DB (INT) STOCK BROKERS
DCBBANK	DCB BANK LIMITED
DCCL	DAR CREDIT & CAPITAL LTD
DCG	DCG CABLES & WIRES LTD
DCI	DC INFOTECH AND COMUN LTD
DCM	DCM LTD
DCMNVL	DCM NOUVELLE LIMITED
DCMSHRIRAM	DCM SHRIRAM LIMITED
DCMSRIND	DCM SHRIRAM IND LTD
DCW	DCW LTD
DCXINDIA	DCX SYSTEMS LIMITED
DDEVPLSTIK	DDEV PLASTIKS IND LTD
DECCANCE	DECCAN CEMENTS LIMITED
DECCANTRAN	DECCAN TRANSCON LEASING L
DEEDEV	DEE DEVELOPMENT ENG LTD
DEEM	DEEM ROLL TECH LIMITED
DEEPAKFERT	DEEPAK FERTILIZERS & PETR
DEEPAKNTR	DEEPAK NITRITE LTD
DEEPINDS	DEEP INDUSTRIES LIMITED
DELAPLEX	DELAPLEX LIMITED
DELHIVERY	DELHIVERY LIMITED
DELTACORP	DELTA CORP LIMITED
DELTIC	DELTA AUTOCORP LIMITED
DEN	DEN NETWORKS LTD
DENEERS	DE NEERS TOOLS LIMITED
DENORA	DE NORA INDIA LIMITED
DENTA	DENTA WATER N INFRA SOL L
DENTALKART	VASA DENTICITY LIMITED
DEVIT	DEV INFO TECHNOLOGY LTD
DEVYANI	DEVYANI INTERNATIONAL LTD
DHAMPURSUG	DHAMPUR SUGAR MILLS LTD.
DHANBANK	DHANLAXMI BANK LIMITED
DHANI	DHANI SERVICES LIMITED
DHANLAXMI	DHANLAXMI CROP SCIENCE L
DHANUKA	DHANUKA AGRITECH LTD
DHUNINV	DHUNSERI INVESTMENTS LTD
DIACABS	DIAMOND POWER INFRA LTD
DIAMINESQ	DIAMINES & CHEMICALS LTD
DIAMONDYD	PRATAAP SNACKS LIMITED
DICIND	DIC INDIA LIMITED
DIFFNKG	DIFFUSION ENGINEERS LTD
DIGIDRIVE	DIGIDRIVE DISTRIBUTORS L
DIGIKORE	DIGIKORE STUDIOS LIMITED
DIGISPICE	DIGISPICE TECHNOLOGIES LT
DIGITIDE	DIGITIDE SOLUTIONS LTD
DIL	DEBOCK INDUSTRIES LIMITED
DISHTV	DISH TV INDIA LTD.
DIVGIITTS	DIVGI TORQTRANSFER SYST L
